image_id,ds_idx,true_label,pred_before,conf_before,mode,target_label,success,adv_label,adv_conf,gens_used,queries,x,y,r,g,b,pop_size,F,Cr,max_gens,es_target,es_nonadv,seed,commit,device
0,0,3,3,1.000000,untargeted,,0,3,0.999946,50,20400,12,17,0.000000,0.000000,0.634555,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
1,1,8,8,0.999995,untargeted,,0,8,0.980128,50,20400,9,22,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
2,2,8,8,0.924418,untargeted,,1,1,0.950972,39,16000,11,27,1.000000,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
3,4,6,6,0.999998,untargeted,,0,6,0.997795,50,20400,20,19,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
4,5,6,6,0.999998,untargeted,,0,6,0.969187,50,20400,14,14,0.000000,0.000000,0.773065,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
5,6,1,1,0.902649,untargeted,,1,9,0.721538,50,20400,29,26,1.000000,1.000000,0.447527,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
6,7,6,6,0.999173,untargeted,,1,2,0.988853,9,4000,17,12,0.993203,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
7,8,3,3,0.999905,untargeted,,1,5,0.968293,10,4400,17,7,0.000278,0.000000,0.786072,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
8,9,1,1,0.999316,untargeted,,0,1,0.968580,50,20400,16,12,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
9,10,0,0,0.999997,untargeted,,0,0,0.930462,50,20400,25,5,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
10,11,9,9,1.000000,untargeted,,0,9,1.000000,50,20400,7,22,1.000000,0.802820,0.874754,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
11,12,5,5,0.998660,untargeted,,0,5,0.806604,50,20400,11,13,0.884592,1.000000,0.580783,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
12,13,7,7,0.999997,untargeted,,0,7,0.999019,50,20400,18,23,1.000000,1.000000,0.422450,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
13,14,9,9,0.999956,untargeted,,0,9,0.997764,50,20400,22,5,1.000000,0.924237,1.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
14,16,5,5,0.999980,untargeted,,0,5,0.936187,50,20400,12,8,0.000000,1.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
15,17,7,7,0.999994,untargeted,,0,7,0.968137,50,20400,15,15,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
16,18,8,8,0.999962,untargeted,,0,8,0.788840,50,20400,15,26,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
17,19,6,6,1.000000,untargeted,,0,6,0.999886,50,20400,12,17,0.000000,0.000000,0.690194,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
18,20,7,7,0.625584,untargeted,,1,5,0.987923,0,400,14,19,1.000000,1.000000,0.536976,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
19,21,0,0,0.999597,untargeted,,0,0,0.813057,50,20400,21,7,0.798553,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
20,22,4,4,0.976825,untargeted,,1,0,0.939749,0,400,21,14,1.000000,1.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
21,23,9,9,1.000000,untargeted,,0,9,0.999999,50,20400,2,12,0.981707,0.692678,0.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
22,24,5,5,0.994222,untargeted,,1,4,0.614585,50,20400,11,11,0.000000,1.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
23,25,2,2,0.895684,untargeted,,1,3,0.949866,6,2800,24,21,1.000000,0.783242,0.975035,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
24,26,4,4,0.999963,untargeted,,1,3,0.979830,12,5200,15,21,1.000000,0.865939,0.576501,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
25,27,0,0,1.000000,untargeted,,0,0,0.999899,50,20400,18,6,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
26,28,9,9,0.999637,untargeted,,1,1,0.893385,50,20400,14,12,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
27,29,6,6,0.994992,untargeted,,0,6,0.743220,50,20400,20,21,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
28,30,6,6,0.997366,untargeted,,1,3,0.972614,0,400,13,10,0.245211,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
29,31,5,5,1.000000,untargeted,,1,3,0.811167,50,20400,17,11,0.000000,0.589813,0.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
30,32,4,4,0.999955,untargeted,,1,5,0.737124,50,20400,16,15,0.000000,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
31,33,5,5,0.997110,untargeted,,1,2,0.675964,50,20400,24,8,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
32,34,9,9,1.000000,untargeted,,0,9,0.999973,50,20400,9,16,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
33,35,2,2,0.973726,untargeted,,1,3,0.954751,4,2000,17,10,1.000000,0.449146,1.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
34,36,4,4,0.979035,untargeted,,1,5,0.872832,50,20400,20,16,0.000000,0.116079,0.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
35,37,1,1,0.703701,untargeted,,1,9,0.958383,0,400,13,19,0.340351,0.000000,0.431094,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
36,38,9,9,0.999964,untargeted,,0,9,0.999783,50,20400,10,2,0.000000,0.000000,0.268234,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
37,39,5,5,1.000000,untargeted,,0,5,0.941341,50,20400,21,13,0.000000,0.000000,0.842083,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
38,40,4,4,0.999835,untargeted,,0,4,0.683708,50,20400,17,10,0.000000,0.000000,0.353018,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
39,41,6,6,0.999998,untargeted,,0,6,0.997423,50,20400,18,13,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
40,42,5,5,0.999742,untargeted,,0,5,0.552323,50,20400,21,16,0.369117,0.962476,1.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
41,43,6,6,0.999999,untargeted,,0,6,0.996213,50,20400,17,10,1.000000,0.916909,1.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
42,44,0,0,1.000000,untargeted,,0,0,0.999998,50,20400,19,26,1.000000,1.000000,0.889419,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
43,45,9,9,0.999995,untargeted,,0,9,0.999939,50,20400,6,18,0.525443,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
44,46,3,3,0.998106,untargeted,,1,6,0.359756,50,20400,16,1,1.000000,0.801687,0.783499,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
45,47,9,9,0.444002,untargeted,,1,0,0.919905,0,400,7,19,1.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
46,48,7,7,0.999804,untargeted,,0,7,0.975410,50,20400,9,7,0.534062,0.000000,0.266576,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
47,49,6,6,0.999343,untargeted,,1,2,0.966281,40,16400,16,6,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,87798a8,mps
