image_id,ds_idx,true_label,pred_before,conf_before,mode,target_label,success,adv_label,adv_conf,gens_used,queries,x,y,r,g,b,pop_size,F,Cr,max_gens,es_target,es_nonadv,seed,commit,device,guide_temp,guide_mutate_prob,rise_masks,rise_s,rise_p,rise_batch
0,0,3,3,1.000000,untargeted,,0,3,0.999968,50,20400,12,14,0.000000,0.000000,0.768267,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
1,1,8,8,0.999995,untargeted,,0,8,0.982737,50,20400,14,22,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
2,2,8,8,0.924418,untargeted,,1,1,0.948909,28,11600,24,23,1.000000,1.000000,0.331373,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
3,4,6,6,0.999998,untargeted,,0,6,0.997795,50,20400,20,19,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
4,5,6,6,0.999998,untargeted,,0,6,0.969793,50,20400,14,14,0.000000,0.000000,0.819831,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
5,6,1,1,0.902649,untargeted,,1,9,0.711682,50,20400,29,26,1.000000,1.000000,0.121040,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
6,7,6,6,0.999173,untargeted,,1,2,0.991896,5,2400,17,10,1.000000,0.759853,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
7,8,3,3,0.999905,untargeted,,1,5,0.959293,12,5200,16,7,0.000000,0.082722,0.643229,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
8,9,1,1,0.999316,untargeted,,0,1,0.968580,50,20400,16,12,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
9,10,0,0,0.999997,untargeted,,0,0,0.930462,50,20400,25,5,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
10,11,9,9,1.000000,untargeted,,0,9,1.000000,50,20400,7,22,1.000000,1.000000,0.950038,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
11,12,5,5,0.998660,untargeted,,0,5,0.849102,50,20400,12,13,0.906649,1.000000,0.505168,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
12,13,7,7,0.999997,untargeted,,0,7,0.999012,50,20400,18,23,1.000000,0.990094,0.425142,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
13,14,9,9,0.999956,untargeted,,0,9,0.997800,50,20400,24,7,0.870269,1.000000,0.750924,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
14,16,5,5,0.999980,untargeted,,0,5,0.840867,50,20400,12,8,0.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
15,17,7,7,0.999994,untargeted,,0,7,0.956842,50,20400,14,15,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
16,18,8,8,0.999962,untargeted,,0,8,0.788840,50,20400,15,26,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
17,19,6,6,1.000000,untargeted,,0,6,0.999886,50,20400,12,17,0.000000,0.000000,0.703660,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
18,20,7,7,0.625584,untargeted,,1,5,0.986328,0,400,19,10,0.844252,0.587906,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
19,21,0,0,0.999597,untargeted,,0,0,0.801892,50,20400,21,7,1.000000,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
20,22,4,4,0.976825,untargeted,,1,0,0.725083,0,400,17,14,1.000000,1.000000,0.364372,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
21,23,9,9,1.000000,untargeted,,0,9,0.999999,50,20400,2,12,0.957708,1.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
22,24,5,5,0.994222,untargeted,,1,4,0.601750,50,20400,11,11,0.000000,1.000000,0.082260,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
23,25,2,2,0.895684,untargeted,,1,3,0.955745,10,4400,23,20,1.000000,0.090645,0.849441,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
24,26,4,4,0.999963,untargeted,,1,3,0.982300,5,2400,15,19,1.000000,0.299005,0.847466,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
25,27,0,0,1.000000,untargeted,,0,0,0.999881,50,20400,22,2,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
26,28,9,9,0.999637,untargeted,,1,1,0.893385,50,20400,14,12,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
27,29,6,6,0.994992,untargeted,,0,6,0.680909,50,20400,21,22,0.000000,0.000000,0.471380,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
28,30,6,6,0.997366,untargeted,,1,3,0.963027,0,400,10,11,0.683677,0.705372,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
29,31,5,5,1.000000,untargeted,,1,3,0.802802,50,20400,15,11,0.000000,0.941850,0.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
30,32,4,4,0.999955,untargeted,,1,3,0.737485,50,20400,16,13,0.000000,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
31,33,5,5,0.997110,untargeted,,1,2,0.616195,50,20400,17,21,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
32,34,9,9,1.000000,untargeted,,0,9,0.999973,50,20400,9,16,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
33,35,2,2,0.973726,untargeted,,1,3,0.978741,4,2000,19,13,0.642740,1.000000,0.834052,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
34,36,4,4,0.979035,untargeted,,1,5,0.930694,50,20400,19,16,0.000000,0.037618,0.230581,400,0.5,0.9,50,0.9,0.05,1337,b33b0c7,mps,2.0,0.1,400,7,0.5,128
