image_id,true_label,pred_before,conf_before,mode,target_label,success,adv_label,adv_conf,gens_used,queries,x,y,r,g,b,pop_size,F,Cr,max_gens,es_target,es_nonadv,seed,commit,device
0,3,3,1.000000,untargeted,,0,3,0.999946,50,20400,12,17,0.000000,0.000000,0.634555,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
1,8,8,0.999995,untargeted,,0,8,0.980128,50,20400,9,22,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
2,8,8,0.924418,untargeted,,1,1,0.950972,39,16000,11,27,1.000000,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
3,6,6,0.999998,untargeted,,0,6,0.997795,50,20400,20,19,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
4,6,6,0.999998,untargeted,,0,6,0.969187,50,20400,14,14,0.000000,0.000000,0.773065,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
5,1,1,0.902649,untargeted,,1,9,0.721538,50,20400,29,26,1.000000,1.000000,0.447527,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
6,6,6,0.999173,untargeted,,1,2,0.988853,9,4000,17,12,0.993203,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
7,3,3,0.999905,untargeted,,1,5,0.968293,10,4400,17,7,0.000278,0.000000,0.786072,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
8,1,1,0.999316,untargeted,,0,1,0.968580,50,20400,16,12,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
9,0,0,0.999997,untargeted,,0,0,0.930462,50,20400,25,5,0.000000,0.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
10,9,9,1.000000,untargeted,,0,9,1.000000,50,20400,7,22,1.000000,0.802820,0.874754,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
11,5,5,0.998660,untargeted,,0,5,0.806604,50,20400,11,13,0.884592,1.000000,0.580783,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
12,7,7,0.999997,untargeted,,0,7,0.999019,50,20400,18,23,1.000000,1.000000,0.422450,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
13,9,9,0.999956,untargeted,,0,9,0.997764,50,20400,22,5,1.000000,0.924237,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
14,5,5,0.999980,untargeted,,0,5,0.936187,50,20400,12,8,0.000000,1.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
15,7,7,0.999994,untargeted,,0,7,0.968137,50,20400,15,15,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
16,8,8,0.999962,untargeted,,0,8,0.788840,50,20400,15,26,1.000000,1.000000,1.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
17,6,6,1.000000,untargeted,,0,6,0.999886,50,20400,12,17,0.000000,0.000000,0.690194,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
18,7,7,0.625584,untargeted,,1,5,0.987923,0,400,14,19,1.000000,1.000000,0.536976,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
19,0,0,0.999597,untargeted,,0,0,0.813057,50,20400,21,7,0.798553,0.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
20,4,4,0.976825,untargeted,,1,0,0.939749,0,400,21,14,1.000000,1.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
21,9,9,1.000000,untargeted,,0,9,0.999999,50,20400,2,12,0.981707,0.692678,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
22,5,5,0.994222,untargeted,,1,4,0.614585,50,20400,11,11,0.000000,1.000000,0.000000,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
23,2,2,0.895684,untargeted,,1,3,0.949866,6,2800,24,21,1.000000,0.783242,0.975035,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
24,4,4,0.999963,untargeted,,1,3,0.979830,12,5200,15,21,1.000000,0.865939,0.576501,400,0.5,0.9,50,0.9,0.05,1337,55f516d,mps
