ds_idx,true_label,pred_before,conf_before,targets,hit_mask,gens_used,queries,best_xy_rgb_per_target,adv_labels_per_target,adv_confs_per_target,pop,max_gens,F,Cr,es_target,xy_topk,xy_mutate_prob,seed,device,prior
0,3,3,1.000000,0|1|2|4|5|6|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(9,3,0.8201,0.1763,0.2958)|(14,15,0.0000,0.0288,0.6406)|(4,4,0.0214,0.0000,0.4666)|(9,2,0.6462,0.6992,0.4837)|(13,6,0.0000,0.0000,0.7843)|(16,11,0.0000,0.0000,0.6015)|(4,4,0.0652,0.0159,0.7381)|(8,1,0.6110,0.0510,0.3528)|(17,7,0.0000,0.0048,0.5474)",3|3|3|3|3|3|3|3|3,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,192,40,0.5,0.9,0.9,32,0.1,1337,cuda,fastprior
1,8,8,1.000000,0|1|2|3|4|5|6|7|9,0|0|0|0|0|0|0|0|0,40,70848,"(12,21,1.0000,1.0000,1.0000)|(3,28,0.9984,1.0000,0.4268)|(5,26,1.0000,1.0000,0.7707)|(23,3,0.0000,0.0000,0.5125)|(12,21,1.0000,0.8905,0.5923)|(19,6,1.0000,1.0000,0.1051)|(7,26,1.0000,1.0000,0.5036)|(12,21,1.0000,1.0000,0.3517)|(12,21,1.0000,1.0000,0.5101)",8|8|8|8|8|8|8|8|8,0.999023|1.000000|1.000000|1.000000|0.998535|1.000000|1.000000|0.998047|0.998535,192,40,0.5,0.9,0.9,32,0.1,1337,cuda,fastprior
2,8,8,0.924805,0|1|2|3|4|5|6|7|9,0|0|0|0|0|0|0|0|0,40,70848,"(25,16,1.0000,1.0000,0.9988)|(15,30,1.0000,1.0000,1.0000)|(27,25,1.0000,1.0000,1.0000)|(27,24,1.0000,1.0000,0.9566)|(27,25,1.0000,0.9990,1.0000)|(27,26,0.0000,0.0000,0.4946)|(27,21,1.0000,1.0000,0.9897)|(27,25,1.0000,0.9994,1.0000)|(27,21,1.0000,1.0000,1.0000)",8|1|8|8|8|8|1|8|1,0.918457|0.886230|0.646484|0.702637|0.645508|0.788574|0.509766|0.646973|0.510742,192,40,0.5,0.9,0.9,32,0.1,1337,cuda,fastprior
4,6,6,1.000000,0|1|2|3|4|5|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(17,6,0.0000,0.0000,0.8020)|(16,20,0.0000,0.0000,0.7247)|(22,19,0.0000,0.0000,0.6808)|(4,11,0.0000,0.0000,0.7128)|(19,19,0.0000,0.0000,0.4429)|(18,11,0.0000,0.0000,0.6736)|(7,12,0.0000,0.0000,0.6566)|(19,19,0.0000,0.0000,0.7844)|(19,19,0.0000,0.0000,0.6893)",6|6|6|6|6|6|6|6|6,1.000000|1.000000|0.999512|1.000000|0.999023|1.000000|1.000000|0.999023|0.999023,192,40,0.5,0.9,0.9,32,0.1,1337,cuda,fastprior
5,6,6,1.000000,0|1|2|3|4|5|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(25,19,1.0000,1.0000,1.0000)|(18,17,0.0000,0.0000,0.6630)|(20,19,1.0000,1.0000,1.0000)|(11,17,1.0000,1.0000,1.0000)|(11,7,0.0000,0.0000,1.0000)|(17,6,0.0000,0.0000,0.6850)|(18,19,0.7091,1.0000,1.0000)|(11,17,0.0000,0.0000,0.6211)|(16,7,0.0000,0.0000,0.6687)",6|6|6|6|6|6|6|6|6,1.000000|0.998535|0.993652|1.000000|0.999512|1.000000|1.000000|0.985840|1.000000,192,40,0.5,0.9,0.9,32,0.1,1337,cuda,fastprior
6,1,1,0.902344,0|2|3|4|5|6|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(7,12,1.0000,1.0000,1.0000)|(25,30,1.0000,1.0000,1.0000)|(25,30,1.0000,1.0000,1.0000)|(25,28,1.0000,1.0000,0.9790)|(27,27,1.0000,0.7754,1.0000)|(27,27,1.0000,1.0000,1.0000)|(9,20,1.0000,1.0000,0.9876)|(25,29,1.0000,1.0000,0.9884)|(26,20,0.1677,0.0000,0.0000)",1|1|1|1|1|1|1|1|9,0.996094|0.978027|0.978027|0.936523|0.719238|0.737793|0.988770|0.981445|0.789551,192,40,0.5,0.9,0.9,32,0.1,1337,cuda,fastprior
7,6,6,0.999023,0|1|2|3|4|5|7|8|9,0|0|1|0|0|0|0|0|0,40,70848,"(17,17,0.0000,0.0000,0.6911)|(21,20,1.0000,1.0000,1.0000)|(17,14,1.0000,1.0000,1.0000)|(18,14,1.0000,1.0000,1.0000)|(16,14,0.1285,0.0804,0.9744)|(17,17,1.0000,1.0000,1.0000)|(18,15,1.0000,1.0000,1.0000)|(23,25,0.0000,0.0000,0.7164)|(18,15,1.0000,1.0000,1.0000)",6|6|2|2|6|6|6|6|6,0.975586|1.000000|0.980469|0.848633|0.813477|0.965332|0.668945|0.998535|0.668945,192,40,0.5,0.9,0.9,32,0.1,1337,cuda,fastprior
8,3,3,1.000000,0|1|2|4|5|6|7|8|9,0|0|0|0|1|0|0|0|0,40,70848,"(18,9,0.0287,0.0000,0.0000)|(18,8,0.1513,0.0000,0.2747)|(16,26,0.0063,0.0000,0.0000)|(17,23,0.0000,0.2419,0.3324)|(18,9,0.0000,0.0000,0.6863)|(18,8,0.1030,0.0358,0.1943)|(18,8,0.0000,0.1226,0.0891)|(13,3,0.1067,0.0000,0.1846)|(15,6,0.0238,0.0255,0.0000)",3|3|3|3|3|3|3|3|3,0.999512|0.579102|1.000000|1.000000|0.907715|0.539062|0.503418|1.000000|0.998047,192,40,0.5,0.9,0.9,32,0.1,1337,cuda,fastprior
9,1,1,0.999512,0|2|3|4|5|6|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(15,10,1.0000,1.0000,1.0000)|(26,29,1.0000,1.0000,1.0000)|(15,12,1.0000,1.0000,1.0000)|(15,12,1.0000,1.0000,1.0000)|(13,26,0.0000,0.3495,1.0000)|(15,12,0.7280,0.7953,0.5450)|(15,12,1.0000,1.0000,1.0000)|(21,13,1.0000,1.0000,1.0000)|(15,25,0.3031,0.0000,0.9989)",1|1|1|1|1|1|1|1|1,0.997070|0.999023|0.983887|0.983887|0.978516|0.991211|0.983887|0.999512|0.997070,192,40,0.5,0.9,0.9,32,0.1,1337,cuda,fastprior
10,0,0,1.000000,1|2|3|4|5|6|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(13,17,1.0000,1.0000,1.0000)|(14,23,0.7804,0.4654,0.2962)|(22,26,1.0000,1.0000,1.0000)|(22,14,0.6426,0.4210,0.2860)|(13,16,1.0000,1.0000,1.0000)|(23,4,1.0000,1.0000,1.0000)|(23,15,0.0040,0.0000,0.3708)|(22,14,0.1552,0.0000,0.0455)|(11,16,0.5514,0.4068,0.2353)",0|0|0|0|0|0|0|0|0,1.000000|1.000000|1.000000|0.999512|1.000000|0.998047|1.000000|0.999512|1.000000,192,40,0.5,0.9,0.9,32,0.1,1337,cuda,fastprior
