image_id,true,pred_before,pred_after,success,iters_used
0,3,3,0,1,
1,5,5,0,1,
2,8,8,0,1,
3,9,9,0,1,
4,6,6,0,1,
5,1,1,0,1,
6,8,8,1,1,
7,9,9,0,1,
8,8,8,0,1,
9,1,1,0,1,
10,4,4,1,1,
11,7,7,0,1,
12,2,2,1,1,
13,3,3,0,1,
14,5,5,0,1,
15,8,8,1,1,
16,1,1,0,1,
17,2,2,1,1,
18,3,3,1,1,
19,7,7,0,1,
20,2,2,0,1,
21,5,5,1,1,
22,9,9,0,1,
23,1,1,0,1,
24,4,4,0,1,
25,1,1,0,1,
26,5,5,0,1,
27,4,4,1,1,
28,8,8,1,1,
29,2,2,0,1,
30,6,6,1,1,
31,8,8,0,1,
32,8,8,0,1,
33,2,2,0,1,
34,8,8,0,1,
36,7,7,0,1,
37,3,3,1,1,
39,6,6,0,1,
40,8,8,1,1,
42,7,7,0,1,
43,6,6,0,1,
44,9,9,0,1,
45,0,0,1,1,
46,7,7,0,1,
47,8,8,1,1,
48,2,2,1,1,
49,7,7,0,1,
50,2,2,0,1,
51,1,1,0,1,
52,8,8,0,1,
53,9,9,0,1,
54,0,0,0,0,
55,6,6,0,1,
56,0,0,0,0,
57,3,3,0,1,
58,6,6,0,1,
59,3,3,0,1,
60,1,1,0,1,
61,1,1,0,1,
62,7,7,0,1,
64,6,6,1,1,
65,5,5,1,1,
66,5,5,0,1,
67,3,3,1,1,
68,5,5,0,1,
69,2,2,0,1,
70,3,3,0,1,
71,3,3,1,1,
72,4,4,0,1,
73,0,0,0,0,
75,7,7,1,1,
76,0,0,0,0,
77,3,3,0,1,
78,2,2,1,1,
79,8,8,0,1,
80,0,0,0,0,
81,7,7,0,1,
82,1,1,0,1,
83,1,1,0,1,
84,8,8,0,1,
85,7,7,0,1,
87,3,3,0,1,
88,0,0,1,1,
89,0,0,1,1,
91,2,2,0,1,
92,8,8,0,1,
93,8,8,1,1,
94,0,0,0,0,
95,5,5,0,1,
96,8,8,0,1,
97,0,0,0,0,
98,3,3,0,1,
99,5,5,1,1,
101,0,0,0,0,
102,8,8,0,1,
104,1,1,0,1,
105,6,6,0,1,
106,2,2,1,1,
107,5,5,1,1,
108,9,9,0,1,
109,8,8,0,1,
110,0,0,0,0,
111,1,1,0,1,
112,8,8,0,1,
113,3,3,1,1,
114,8,8,0,1,
115,9,9,0,1,
116,9,9,0,1,
117,4,4,0,1,
118,8,8,0,1,
119,1,1,0,1,
120,9,9,1,1,
121,1,1,0,1,
122,9,9,0,1,
123,5,5,0,1,
124,0,0,0,0,
125,4,4,1,1,
126,4,4,0,1,
127,9,9,0,1,
128,1,1,1,0,
129,4,4,1,1,
132,9,9,0,1,
133,6,6,0,1,
134,8,8,1,1,
135,2,2,0,1,
136,1,1,0,1,
137,6,6,1,1,
138,5,5,0,1,
139,0,0,0,0,
140,0,0,0,0,
141,6,6,0,1,
142,7,7,0,1,
143,8,8,0,1,
144,0,0,0,0,
145,1,1,0,1,
146,1,1,0,1,
147,1,1,1,0,
148,6,6,0,1,
149,4,4,0,1,
151,2,2,1,1,
152,5,5,0,1,
153,9,9,0,1,
154,7,7,0,1,
155,7,7,0,1,
156,6,6,0,1,
157,9,9,0,1,
158,1,1,0,1,
159,4,4,0,1,
161,4,4,0,1,
162,6,6,0,1,
163,3,3,0,1,
164,4,4,0,1,
166,0,0,0,0,
167,3,3,1,1,
168,4,4,0,1,
169,1,1,0,1,
170,2,2,1,1,
171,9,9,0,1,
172,8,8,0,1,
173,6,6,0,1,
174,5,5,0,1,
175,6,6,0,1,
176,1,1,0,1,
178,1,1,1,0,
179,0,0,1,1,
180,6,6,0,1,
181,9,9,0,1,
182,7,7,0,1,
183,9,9,0,1,
184,9,9,0,1,
185,2,2,1,1,
186,6,6,0,1,
187,2,2,0,1,
188,0,0,1,1,
189,5,5,1,1,
190,2,2,1,1,
191,3,3,0,1,
192,5,5,0,1,
193,1,1,0,1,
194,5,5,0,1,
195,9,9,0,1,
196,4,4,1,1,
197,9,9,0,1,
198,1,1,0,1,
199,5,5,1,1,
