image_id,true,pred_before,pred_after,success,iters_used
0,3,3,3,0,1500
1,5,5,5,0,1500
2,8,8,8,0,1500
3,9,9,9,0,1500
4,6,6,6,0,1500
5,1,1,1,0,1500
6,8,8,0,1,83
7,9,9,9,0,1500
8,8,8,8,0,1500
9,1,1,1,0,1500
10,4,4,3,1,108
11,7,7,7,0,1500
12,2,2,0,1,87
13,3,3,3,0,1500
14,5,5,5,0,1500
15,8,8,0,1,189
16,1,1,1,0,1500
17,2,2,3,1,57
18,3,3,5,1,98
19,7,7,7,0,1500
20,2,2,2,0,1500
21,5,5,3,1,76
22,9,9,9,0,1500
23,1,1,1,0,1500
24,4,4,4,0,1500
25,1,1,1,0,1500
26,5,5,5,0,1500
27,4,4,8,1,71
28,8,8,9,1,1
29,2,2,2,0,1500
30,6,6,2,1,112
31,8,8,8,0,1500
32,8,8,8,0,1500
33,2,2,2,0,1500
34,8,8,8,0,1500
36,7,7,7,0,1500
37,3,3,5,1,114
39,6,6,6,0,1500
40,8,8,0,1,71
42,7,7,7,0,1500
43,6,6,6,0,1500
44,9,9,9,0,1500
45,0,0,2,1,159
46,7,7,7,0,1500
47,8,8,9,1,1112
48,2,2,0,1,263
49,7,7,7,0,1500
50,2,2,2,0,1500
51,1,1,1,0,1500
52,8,8,8,0,1500
53,9,9,9,0,1500
54,0,0,0,0,1500
55,6,6,6,0,1500
56,0,0,0,0,1500
57,3,3,3,0,1500
58,6,6,6,0,1500
59,3,3,3,0,1500
60,1,1,1,0,1500
61,1,1,1,0,1500
62,7,7,7,0,1500
64,6,6,2,1,19
65,5,5,3,1,11
66,5,5,5,0,1500
67,3,3,6,1,235
68,5,5,5,0,1500
69,2,2,2,0,1500
70,3,3,3,0,1500
71,3,3,0,1,1
72,4,4,4,0,1500
73,0,0,0,0,1500
75,7,7,4,1,816
76,0,0,0,0,1500
77,3,3,3,0,1500
78,2,2,0,1,694
79,8,8,8,0,1500
80,0,0,0,0,1500
81,7,7,7,0,1500
82,1,1,1,0,1500
83,1,1,1,0,1500
84,8,8,8,0,1500
85,7,7,7,0,1500
87,3,3,3,0,1500
88,0,0,4,1,15
89,0,0,8,1,37
91,2,2,2,0,1500
92,8,8,8,0,1500
93,8,8,0,1,1
94,0,0,0,0,1500
95,5,5,5,0,1500
96,8,8,8,0,1500
97,0,0,0,0,1500
98,3,3,3,0,1500
99,5,5,3,1,1098
101,0,0,0,0,1500
102,8,8,8,0,1500
104,1,1,1,0,1500
105,6,6,6,0,1500
106,2,2,4,1,29
107,5,5,6,1,50
108,9,9,9,0,1500
109,8,8,8,0,1500
110,0,0,0,0,1500
111,1,1,1,0,1500
112,8,8,8,0,1500
113,3,3,5,1,14
114,8,8,8,0,1500
115,9,9,9,0,1500
116,9,9,9,0,1500
117,4,4,4,0,1500
118,8,8,8,0,1500
119,1,1,1,0,1500
120,9,9,0,1,1
121,1,1,1,0,1500
122,9,9,9,0,1500
123,5,5,5,0,1500
124,0,0,0,0,1500
125,4,4,3,1,290
126,4,4,4,0,1500
127,9,9,9,0,1500
128,1,1,0,1,39
129,4,4,2,1,155
132,9,9,9,0,1500
133,6,6,6,0,1500
134,8,8,0,1,245
135,2,2,2,0,1500
136,1,1,1,0,1500
137,6,6,3,1,1319
138,5,5,5,0,1500
139,0,0,0,0,1500
140,0,0,0,0,1500
141,6,6,6,0,1500
142,7,7,7,0,1500
143,8,8,8,0,1500
144,0,0,0,0,1500
145,1,1,1,0,1500
146,1,1,1,0,1500
147,1,1,9,1,62
148,6,6,6,0,1500
149,4,4,4,0,1500
151,2,2,6,1,28
152,5,5,5,0,1500
153,9,9,9,0,1500
154,7,7,7,0,1500
155,7,7,7,0,1500
156,6,6,6,0,1500
157,9,9,9,0,1500
158,1,1,1,0,1500
159,4,4,4,0,1500
161,4,4,4,0,1500
162,6,6,6,0,1500
163,3,3,3,0,1500
164,4,4,4,0,1500
166,0,0,0,0,1500
167,3,3,6,1,340
168,4,4,4,0,1500
169,1,1,1,0,1500
170,2,2,4,1,2
171,9,9,9,0,1500
172,8,8,8,0,1500
173,6,6,6,0,1500
174,5,5,5,0,1500
175,6,6,6,0,1500
176,1,1,1,0,1500
178,1,1,9,1,69
179,0,0,2,1,14
180,6,6,6,0,1500
181,9,9,9,0,1500
182,7,7,7,0,1500
183,9,9,9,0,1500
184,9,9,9,0,1500
185,2,2,6,1,1077
186,6,6,6,0,1500
187,2,2,2,0,1500
188,0,0,2,1,239
189,5,5,3,1,19
190,2,2,0,1,835
191,3,3,3,0,1500
192,5,5,5,0,1500
193,1,1,1,0,1500
194,5,5,5,0,1500
195,9,9,9,0,1500
196,4,4,7,1,20
197,9,9,9,0,1500
198,1,1,1,0,1500
199,5,5,4,1,14
