image_id,true,pred_before,pred_after,success,iters_used
0,3,3,3,0,300
1,5,5,5,0,300
2,8,8,8,0,300
3,9,9,9,0,300
4,6,6,6,0,300
5,1,1,1,0,300
6,8,8,0,1,83
7,9,9,9,0,300
8,8,8,8,0,300
9,1,1,1,0,300
10,4,4,3,1,108
11,7,7,7,0,300
12,2,2,0,1,87
13,3,3,3,0,300
14,5,5,5,0,300
15,8,8,0,1,189
16,1,1,1,0,300
17,2,2,3,1,57
18,3,3,5,1,98
19,7,7,7,0,300
20,2,2,2,0,300
21,5,5,3,1,76
22,9,9,9,0,300
23,1,1,1,0,300
24,4,4,4,0,300
25,1,1,1,0,300
26,5,5,5,0,300
27,4,4,8,1,71
28,8,8,9,1,1
29,2,2,2,0,300
30,6,6,2,1,112
31,8,8,8,0,300
32,8,8,8,0,300
33,2,2,2,0,300
34,8,8,8,0,300
36,7,7,7,0,300
37,3,3,5,1,114
39,6,6,6,0,300
