ds_idx,true,pred_clean,pred_adv,iou10_gc,iou10_ig,iou10_rise,rho_gc,rho_ig,rho_rise,del_auc_gc_clean,del_auc_ig_clean,del_auc_rise_clean,del_auc_gc_adv,del_auc_ig_adv,del_auc_rise_adv
0,3,3,,,,,,,,0.25775844290619715,0.7284432043932612,0.22147885270692313,,,
1,8,8,,,,,,,,0.3602094526373548,0.36725802006480995,0.0753699600474647,,,
2,8,8,1,0.45390070921985815,0.6859504132231405,0.48905109489051096,0.8249548673629761,0.8326206207275391,0.6762937903404236,0.5271667952416464,0.07254703896669529,0.08341105433246414,0.09354669993044809,0.06487056670903257,0.09172888919129035
3,0,8,,,,,,,,0.41023252923041587,0.11696611135915874,0.014464644464391085,,,
4,6,6,,,,,,,,0.53637612182647,0.7554827906191349,0.7402297171996908,,,
5,6,6,,,,,,,,0.17551762263756243,0.5500794221734396,0.18299660815682728,,,
6,1,1,9,0.0967741935483871,0.5692307692307692,0.15254237288135594,0.8910845518112183,0.9491478204727173,0.3302066922187805,0.06175116087169956,0.19051480567650295,0.07288447485866528,0.010755903829704037,0.2056309175599381,0.1303264880716747
7,6,6,2,0.3509933774834437,0.2911392405063291,0.07936507936507936,0.8522506952285767,0.7331899404525757,0.39334338903427124,0.23516301269119141,0.4069793924514671,0.24415293886449949,0.2850950681371614,0.6097692834911869,0.003105426242973408
8,3,3,5,0.42657342657342656,0.3783783783783784,0.03553299492385787,0.5838755369186401,0.8102259635925293,0.07035422325134277,0.20458101845870263,0.2933522301609628,0.5910608190693892,0.06896162540160729,0.3355568385042716,0.47735059754922987
9,1,1,,,,,,,,0.20827574300055857,0.24651246954745148,0.09022337419291947,,,
10,0,0,,,,,,,,0.6140822749584912,0.32755603446858006,0.50130439295026,,,
11,9,9,,,,,,,,0.4810050178581151,0.29739996934558804,0.29718497215799294,,,
12,5,5,,,,,,,,0.21772246652690228,0.07283334378371363,0.24741210467182104,,,
13,7,7,,,,,,,,0.37054111793404443,0.06862192609150952,0.3712051173642977,,,
14,9,9,,,,,,,,0.2831145466039743,0.1216359485956673,0.3944788000489196,,,
15,8,6,,,,,,,,0.37711709532886745,0.6622821704484524,0.23270890429776048,,,
16,5,5,,,,,,,,0.264644344500266,0.052708168193385044,0.0697782850586009,,,
17,7,7,,,,,,,,0.14790327044320292,0.12150625874693333,0.24241118048753024,,,
18,8,8,,,,,,,,0.5526729169941973,0.04004350567257262,0.11743659915827039,,,
19,6,6,,,,,,,,0.24829787814414886,0.5684174796213483,0.19392746527978774,,,
20,7,7,5,0.21428571428571427,0.5572519083969466,0.0967741935483871,0.8823917508125305,0.9153754115104675,0.45324021577835083,0.28646265308052543,0.031971307296771556,0.10717002913702348,0.07986318933346297,0.1235759617877193,0.04900255618462664
21,0,0,,,,,,,,0.5296580247581005,0.5455394385309773,0.6828409512760119,,,
22,4,4,0,0.2911392405063291,0.29936305732484075,0.13966480446927373,0.7813016772270203,0.6411687135696411,0.14059533178806305,0.04324765113851754,0.03489834546057864,0.0721660756918034,0.00044544178946352974,0.009005986663032674,0.0008233200508144022
23,9,9,,,,,,,,0.4469465408095857,0.44609228096142034,0.41980497551471957,,,
24,5,5,4,0.5223880597014925,0.6190476190476191,0.13966480446927373,0.7698932886123657,0.9261115789413452,0.5268542170524597,0.2706688980106265,0.10175801202202023,0.10251613505533898,0.06908082556910812,0.13841997901623698,0.02676141019655915
25,2,2,3,0.5111111111111111,0.5111111111111111,0.29936305732484075,0.954032301902771,0.8582134246826172,0.5091281533241272,0.47737512740422977,0.14834081743611027,0.131167274654581,0.33717578167561435,0.3989783972501755,0.054782385122189234
26,4,4,3,0.2,0.29936305732484075,0.25925925925925924,0.8103004693984985,0.8489497900009155,0.5966875553131104,0.13432112007867542,0.14569684246052933,0.24534239362701557,0.20194877260946673,0.23106568961229645,0.30105248686171543
27,0,0,,,,,,,,0.5657027301378549,0.34939233798359054,0.8216471403837203,,,
28,9,9,1,0.19186046511627908,0.632,0.1791907514450867,0.760759711265564,0.920680582523346,0.4433087110519409,0.3259896547999233,0.18052415157017096,0.24486586655502837,0.039926402020500976,0.15715775903522627,0.009325460087271153
29,6,6,,,,,,,,0.26272751449723725,0.5938707423629239,0.16638992755324583,,,
30,6,6,3,0.2911392405063291,0.3783783783783784,0.0851063829787234,0.4342745542526245,0.800963282585144,0.37994056940078735,0.05753733979672687,0.282835421742493,0.09547639674856326,0.008655524781715935,0.401459060003981,0.051869094156427306
31,5,5,3,0.0,0.48905109489051096,0.13966480446927373,0.8182933330535889,0.8538700342178345,0.05114290118217468,0.21791906732833008,0.10901335387998184,0.14730350589816227,0.1921797366710962,0.11571750435358578,0.06805194782701846
32,4,4,5,0.1657142857142857,0.4166666666666667,0.02512562814070352,0.8776257634162903,0.8343572616577148,0.04083510488271713,0.27283062395290475,0.15558655043132602,0.24762200740879056,0.07290248894714751,0.26167501804011406,0.011926199097558763
33,5,5,2,0.0625,0.5692307692307692,0.2830188679245283,0.5289437174797058,0.8608217239379883,0.26781511306762695,0.24136996238812572,0.0656289482899865,0.19151024955717733,0.04235650810278457,0.014484319711482379,0.010831461106935338
34,9,9,,,,,,,,0.2795296370226424,0.1679551927892394,0.2637730645702618,,,
35,2,2,3,0.3783783783783784,0.48905109489051096,0.44680851063829785,0.8439446687698364,0.8964135050773621,0.5407518744468689,0.29958671026397493,0.06714893543539803,0.14231755463406442,0.2261372542096069,0.17405363142461283,0.004457352590998198
36,4,4,5,0.6190476190476191,0.5572519083969466,0.45714285714285713,0.9556897282600403,0.9342526197433472,0.567643940448761,0.20688604393217247,0.40156620819470845,0.050858212981967195,0.46076494903246545,0.4313442568454775,0.0034524235894296982
37,1,1,9,0.1657142857142857,0.44680851063829785,0.48905109489051096,0.8165915012359619,0.8605310916900635,0.5240473747253418,0.026858227227057795,0.19354307355060882,0.047696731482710676,0.02955566271302814,0.18287284263351467,0.03454445151908203
38,9,9,,,,,,,,0.40860549107419497,0.28011834077622094,0.21272964762236485,,,
39,5,5,,,,,,,,0.42302313824766313,0.04538984734335257,0.2445727981430409,,,
40,4,4,,,,,,,,0.15941283432766798,0.07407727908503146,0.11262978198258225,,,
41,6,6,,,,,,,,0.36453044805675744,0.38789283977112066,0.20789163411936895,,,
42,5,5,,,,,,,,0.13251708052739558,0.048404711221837704,0.17296493491408,,,
43,6,6,,,,,,,,0.19444235340852176,0.4679408872660133,0.1913900576910237,,,
44,0,0,,,,,,,,0.2991730350768194,0.8964496561209673,0.8690709553658962,,,
45,9,9,,,,,,,,0.41871485966257754,0.2258491255475747,0.24493280913311183,,,
46,3,3,6,0.2,0.5111111111111111,0.1657142857142857,0.5223203897476196,0.8776782751083374,0.21829643845558167,0.16334715272532777,0.5213134283461841,0.3476028447970748,0.06401340751472162,0.4023567499489019,0.03502702600934242
47,9,9,0,0.2670807453416149,0.45714285714285713,0.2670807453416149,0.7470451593399048,0.8422561883926392,0.6617313623428345,0.1753093034880294,0.019096928238150217,0.023944188951847595,0.0017203218820668552,0.021633824036689477,0.0016145390298163424
48,7,7,,,,,,,,0.1759965678298613,0.14778803930423692,0.20456752717840343,,,
49,6,6,2,0.29936305732484075,0.3972602739726027,0.45714285714285713,0.8504522442817688,0.8001052737236023,0.39726874232292175,0.10773668717592955,0.36988311251625416,0.06273553294649901,0.12393101546276739,0.22696124191279524,0.01823241581587354
50,9,9,,,,,,,,0.2280905801781046,0.16415925378023527,0.18677867626655034,,,
51,8,8,,,,,,,,0.49914782904088495,0.18251845228951427,0.2925925026080222,,,
52,0,5,,,,,,,,0.15118018674329506,0.06748032453897393,0.017648465114962163,,,
53,3,3,5,0.43661971830985913,0.59375,0.0967741935483871,0.8028416037559509,0.8747948408126831,0.3942384123802185,0.49675003961237957,0.30428885662257693,0.441223129334685,0.08704783582395803,0.2634855029180472,0.3209939376451075
54,8,8,0,0.3691275167785235,0.44680851063829785,0.3783783783783784,0.6349012851715088,0.8088854551315308,0.33467406034469604,0.27789255267707635,0.24007683788511264,0.07193481817572404,0.14969757752296575,0.15314251366332882,0.020980967570403665
55,8,8,,,,,,,,0.6394367223605512,0.07165661579797414,0.13097958097249318,,,
56,7,7,,,,,,,,0.3589617886878841,0.09704509898474499,0.23612910228184777,,,
57,7,5,,,,,,,,0.1353371176181099,0.032007142659313086,0.03285857224868776,,,
58,4,4,5,0.5454545454545454,0.4782608695652174,0.4782608695652174,0.8701196908950806,0.8621999025344849,0.5564048290252686,0.033860597519378643,0.22427987583505457,0.07437855452571968,0.010625902679021238,0.16017273745965216,0.00017872690672855464
59,6,3,,,,,,,,0.5806577255949378,0.24947198115962693,0.2715630640966992,,,
60,7,7,,,,,,,,0.352677096077241,0.12604353650285707,0.2472364671791112,,,
61,3,5,,,,,,,,0.21655290201279057,0.047576515242265305,0.06477720241236964,,,
62,6,6,3,0.10270270270270271,0.42657342657342656,0.23636363636363636,0.7348834276199341,0.8626114130020142,0.4947601854801178,0.052671746321721,0.31067558911745435,0.07667216931913289,0.023959001691673615,0.22139958157640643,0.09996452631635294
63,3,3,1,0.4068965517241379,0.5,0.13333333333333333,0.7889987826347351,0.8754543662071228,0.15318728983402252,0.12306886330570706,0.3290456560440362,0.28269721429460337,0.02361882059267372,0.23448104775743558,0.017768582994096956
64,6,6,2,0.42657342657342656,0.3972602739726027,0.3246753246753247,0.8387636542320251,0.9069480299949646,0.48877179622650146,0.1519439775380306,0.21551472023129462,0.12411295504959981,0.12101904876035405,0.20730063352384603,0.01665671831491267
65,2,2,,,,,,,,0.7487621766398662,0.4408925759518752,0.5137140927246946,,,
66,1,1,,,,,,,,0.20737076234654525,0.19502472494932585,0.1995395224997765,,,
67,2,2,,,,,,,,0.325065364188049,0.2963226715219207,0.299792682635598,,,
68,3,3,5,0.14606741573033707,0.6451612903225806,0.10869565217391304,0.5608007907867432,0.8500069379806519,0.11857106536626816,0.1639645667281002,0.1719137286667774,0.22354419492185115,0.0295373480701528,0.19609002634388165,0.01594595293572638
69,7,7,4,0.8888888888888888,0.7435897435897436,0.6190476190476191,0.968238115310669,0.9562023878097534,0.6747593879699707,0.07484122277055576,0.11962950866909522,0.023965798263088797,0.03571618141504587,0.05704714322196197,0.01181418673721026
70,2,2,3,0.42657342657342656,0.3972602739726027,0.8715596330275229,0.9209750890731812,0.7778045535087585,0.7800044417381287,0.16213742797644956,0.14744539790727915,0.195837014564313,0.14025923782173777,0.043064238128042116,0.22839722318040007
71,6,6,3,0.43661971830985913,0.3877551020408163,0.5572519083969466,0.9120992422103882,0.8026772737503052,0.4947381615638733,0.09473381376446922,0.22411276667844507,0.0530280734576081,0.10771910896874033,0.24119653971283697,0.001442941764571515
72,8,8,0,0.3333333333333333,0.6451612903225806,0.25925925925925924,0.41862207651138306,0.9109743237495422,0.14475786685943604,0.6006651189178228,0.09825221492501442,0.1416983355021216,0.03189476826737518,0.07913833145921673,0.030435107341781977
73,8,8,0,0.34210526315789475,0.3972602739726027,0.29936305732484075,0.5456205606460571,0.815070390701294,0.25329434871673584,0.36442700421903285,0.15755478298797246,0.3022276248403614,0.19094868678366766,0.2262115620998884,0.0065845244396172085
74,0,0,9,0.8214285714285714,0.5692307692307692,0.1590909090909091,0.9533646106719971,0.9347979426383972,0.4140394330024719,0.3987859109882266,0.6293829087517224,0.7578486043959857,0.4776560544611129,0.6532534464262426,0.3049621064128587
75,2,2,,,,,,,,0.44974670994561167,0.4871541765169241,0.8340919393347577,,,
76,9,9,,,,,,,,0.20536540660104943,0.1386321834091177,0.08709350483572394,,,
