ds_idx,true,pred_clean,pred_adv,iou10_gc,iou10_ig,iou10_rise,rho_gc,rho_ig,rho_rise,del_auc_gc_clean,del_auc_ig_clean,del_auc_rise_clean,del_auc_gc_adv,del_auc_ig_adv,del_auc_rise_adv
0,3,3,,,,,,,,0.25658223032951355,0.7413631081581116,0.24894528090953827,,,
1,8,8,,,,,,,,0.36021530628204346,0.3294617533683777,0.1856619268655777,,,
2,8,8,,,,,,,,0.5270472764968872,0.0594448447227478,0.1373676210641861,,,
3,0,8,,,,,,,,0.4098893105983734,0.12371993064880371,0.017291922122240067,,,
4,6,6,,,,,,,,0.5363761782646179,0.7153881788253784,0.20359563827514648,,,
5,6,6,,,,,,,,0.1740463823080063,0.6359091401100159,0.1912858486175537,,,
6,1,1,,,,,,,,0.061367202550172806,0.21118542551994324,0.16729579865932465,,,
7,6,6,6,0.5813953488372093,0.3877551020408163,0.5813953488372093,0.9346725344657898,0.7989925742149353,0.7178447246551514,0.23516322672367096,0.41171371936798096,0.054926808923482895,0.19560149312019348,0.5300758481025696,0.08490490168333054
8,3,3,5,0.4676258992805755,0.3691275167785235,0.24390243902439024,0.7907205820083618,0.7863940000534058,0.4026443064212799,0.2030397653579712,0.280777245759964,0.5353009104728699,0.10971938818693161,0.33711597323417664,0.5685257911682129
9,1,1,,,,,,,,0.20863285660743713,0.2603672742843628,0.1833900660276413,,,
10,0,0,,,,,,,,0.6128299832344055,0.3443642258644104,0.724357008934021,,,
11,9,9,,,,,,,,0.4814138412475586,0.32751786708831787,0.42375946044921875,,,
12,5,5,,,,,,,,0.2218398153781891,0.04664178565144539,0.11187969893217087,,,
13,7,7,,,,,,,,0.37048739194869995,0.07937854528427124,0.21698951721191406,,,
14,9,9,,,,,,,,0.2831050157546997,0.10534367710351944,0.2286006063222885,,,
15,8,6,,,,,,,,0.37217167019844055,0.6686807870864868,0.04353521019220352,,,
16,5,5,,,,,,,,0.2635413706302643,0.034326620399951935,0.1049688532948494,,,
17,7,7,,,,,,,,0.1475868672132492,0.11331944912672043,0.3235074281692505,,,
18,8,8,,,,,,,,0.5526464581489563,0.036677151918411255,0.2515178322792053,,,
19,6,6,,,,,,,,0.24830786883831024,0.518959641456604,0.1922863870859146,,,
20,7,7,5,0.2911392405063291,0.6062992125984252,0.6190476190476191,0.717261016368866,0.9433019757270813,0.8537589907646179,0.2880902886390686,0.0457606241106987,0.03384781256318092,0.056085776537656784,0.04254455119371414,0.03189859911799431
21,0,0,,,,,,,,0.5253909230232239,0.5199902653694153,0.6832484006881714,,,
22,4,4,0,0.3509933774834437,0.43661971830985913,0.632,0.9414684772491455,0.714317798614502,0.5556143522262573,0.043207425624132156,0.03321763500571251,0.027839606627821922,0.00160323700401932,0.0917360708117485,0.0005410528974607587
23,9,9,,,,,,,,0.4469464421272278,0.46096929907798767,0.37643975019454956,,,
24,5,5,,,,,,,,0.2727188766002655,0.09733859449625015,0.22096456587314606,,,
25,2,2,,,,,,,,0.4814869165420532,0.13733984529972076,0.16509005427360535,,,
26,4,4,4,0.59375,0.5111111111111111,0.7894736842105263,0.8752357959747314,0.8786066770553589,0.7259213924407959,0.13432103395462036,0.14386849105358124,0.3348003327846527,0.03218410909175873,0.12013853341341019,0.13237816095352173
27,0,0,,,,,,,,0.5680802464485168,0.3699164092540741,0.6171476244926453,,,
28,9,9,,,,,,,,0.3255751430988312,0.18217140436172485,0.12769389152526855,,,
29,6,6,,,,,,,,0.26378220319747925,0.6023454666137695,0.10048777610063553,,,
30,6,6,3,0.1657142857142857,0.3076923076923077,0.04081632653061224,0.3143882155418396,0.7627218961715698,0.38444405794143677,0.05755852907896042,0.29241514205932617,0.035297513008117676,0.11561901122331619,0.19897067546844482,0.02566211111843586
31,5,5,,,,,,,,0.2176559716463089,0.12404534220695496,0.35561320185661316,,,
32,4,4,,,,,,,,0.27284112572669983,0.14051470160484314,0.2170930951833725,,,
33,5,5,,,,,,,,0.24137012660503387,0.08134448528289795,0.038251250982284546,,,
34,9,9,,,,,,,,0.28022700548171997,0.16663332283496857,0.24717667698860168,,,
35,2,2,,,,,,,,0.2988271415233612,0.0893639326095581,0.0723184123635292,,,
36,4,4,4,0.6062992125984252,0.6859504132231405,0.6451612903225806,0.9914028644561768,0.943656861782074,0.7489079236984253,0.20677539706230164,0.38003748655319214,0.03194683417677879,0.25879624485969543,0.32757771015167236,0.17785847187042236
37,1,1,9,0.10270270270270271,0.4782608695652174,0.5,0.6937078237533569,0.8673697113990784,0.8020680546760559,0.02675972692668438,0.1530829221010208,0.09405986219644547,0.006345989182591438,0.04747172072529793,0.00499008921906352
38,9,9,,,,,,,,0.4086054265499115,0.2921660542488098,0.13992534577846527,,,
39,5,5,,,,,,,,0.42302337288856506,0.05187045782804489,0.209982767701149,,,
40,4,4,,,,,,,,0.15939784049987793,0.09219609946012497,0.17445452511310577,,,
41,6,6,,,,,,,,0.36492106318473816,0.3597535789012909,0.18684953451156616,,,
42,5,5,,,,,,,,0.13248853385448456,0.04668379947543144,0.0688011571764946,,,
43,6,6,,,,,,,,0.19441500306129456,0.4531925916671753,0.1302998661994934,,,
44,0,0,,,,,,,,0.2991727590560913,0.9216140508651733,0.845002293586731,,,
45,9,9,,,,,,,,0.41871485114097595,0.22808319330215454,0.20752540230751038,,,
46,3,3,,,,,,,,0.1660737246274948,0.5729424953460693,0.12357174605131149,,,
47,9,9,0,0.2289156626506024,0.34210526315789475,0.3877551020408163,0.3446123003959656,0.7946954965591431,0.7215806245803833,0.17528259754180908,0.026572037488222122,0.01647132635116577,0.0002729658444877714,0.017027536407113075,0.0005694183055311441
48,7,7,,,,,,,,0.17586320638656616,0.14168058335781097,0.09098181873559952,,,
49,6,6,,,,,,,,0.10858245193958282,0.35354071855545044,0.06154710054397583,,,
50,9,9,,,,,,,,0.22799526154994965,0.1738525927066803,0.16790805757045746,,,
51,8,8,,,,,,,,0.49880340695381165,0.17458376288414001,0.2698771357536316,,,
52,0,5,,,,,,,,0.15544037520885468,0.06105727329850197,0.018681062385439873,,,
53,3,3,3,0.7894736842105263,0.5454545454545454,0.15254237288135594,0.955270528793335,0.8735702633857727,0.6258177757263184,0.4787517189979553,0.3059552013874054,0.22129873931407928,0.31936395168304443,0.21120883524417877,0.6199784278869629
54,8,8,,,,,,,,0.2778926193714142,0.24569256603717804,0.09476391226053238,,,
55,8,8,,,,,,,,0.639224648475647,0.12232858687639236,0.26035335659980774,,,
56,7,7,,,,,,,,0.3587462604045868,0.08636187762022018,0.032418593764305115,,,
57,7,5,,,,,,,,0.1388130933046341,0.028107069432735443,0.01966375857591629,,,
58,4,4,5,0.5223880597014925,0.43661971830985913,0.5813953488372093,0.8869295716285706,0.8473624587059021,0.56684809923172,0.03386571258306503,0.25497281551361084,0.04814308509230614,0.007299218326807022,0.2465791404247284,5.447202056529932e-05
59,6,3,,,,,,,,0.5787754654884338,0.1816439926624298,0.32176509499549866,,,
60,7,7,,,,,,,,0.35263925790786743,0.13126185536384583,0.21338778734207153,,,
61,3,5,,,,,,,,0.21679534018039703,0.05231253802776337,0.08300557732582092,,,
62,6,6,6,0.0851063829787234,0.5111111111111111,0.7142857142857143,0.7091711163520813,0.8835081458091736,0.7963646054267883,0.053604934364557266,0.3196175694465637,0.12228963524103165,0.18442751467227936,0.3591209650039673,0.05509611591696739
63,3,3,,,,,,,,0.12871962785720825,0.27926042675971985,0.08390827476978302,,,
64,6,6,,,,,,,,0.15254463255405426,0.26760348677635193,0.12888947129249573,,,
65,2,2,,,,,,,,0.7482079267501831,0.41482895612716675,0.3681822419166565,,,
66,1,1,,,,,,,,0.2073151171207428,0.21096456050872803,0.20781435072422028,,,
67,2,2,,,,,,,,0.32696694135665894,0.27611395716667175,0.10853708535432816,,,
68,3,3,3,0.29936305732484075,0.3783783783783784,0.3246753246753247,0.9532796144485474,0.8669143915176392,0.5587506294250488,0.164483904838562,0.15907493233680725,0.11665576696395874,0.1970807909965515,0.299683153629303,0.1760907620191574
69,7,7,,,,,,,,0.07499799877405167,0.10769471526145935,0.02802971377968788,,,
70,2,2,0,0.6062992125984252,0.5223880597014925,0.6721311475409836,0.9307814240455627,0.7759853601455688,0.8043639659881592,0.16136886179447174,0.17499929666519165,0.4434967041015625,0.05252746120095253,0.13488826155662537,0.0787598267197609
71,6,6,6,0.5,0.45714285714285713,0.3161290322580645,0.8989418148994446,0.793634295463562,0.6117010116577148,0.0947171300649643,0.2021428346633911,0.03991885855793953,0.09052106738090515,0.2169020175933838,0.023194996640086174
72,8,8,,,,,,,,0.6022135615348816,0.09736385196447372,0.09009841084480286,,,
73,8,8,,,,,,,,0.3649737536907196,0.14828373491764069,0.12329106032848358,,,
74,0,0,,,,,,,,0.3977748155593872,0.6211230158805847,0.5059624314308167,,,
75,2,2,,,,,,,,0.4477993845939636,0.4769844710826874,0.6781907081604004,,,
76,9,9,,,,,,,,0.20538754761219025,0.1579386442899704,0.15973839163780212,,,
77,3,3,,,,,,,,0.2633499503135681,0.3128562867641449,0.37348973751068115,,,
78,3,5,,,,,,,,0.08906649053096771,0.055216509848833084,0.05767916515469551,,,
79,8,8,,,,,,,,0.2982063889503479,0.19033671915531158,0.2522956132888794,,,
80,8,8,,,,,,,,0.7552229166030884,0.3082968592643738,0.2866215705871582,,,
81,1,1,,,,,,,,0.11185885220766068,0.18673478066921234,0.31776130199432373,,,
82,1,1,,,,,,,,0.13442228734493256,0.34979602694511414,0.21001006662845612,,,
83,7,7,,,,,,,,0.25150853395462036,0.14578576385974884,0.5149391293525696,,,
84,2,2,5,0.3783783783783784,0.3783783783783784,0.34210526315789475,0.6146405935287476,0.8144825100898743,0.6371138691902161,0.2863861322402954,0.14233149588108063,0.21277442574501038,0.11100122332572937,0.13581432402133942,0.11002008616924286
85,5,5,,,,,,,,0.0629177987575531,0.05556175857782364,0.08256582170724869,,,
86,2,2,,,,,,,,0.48412173986434937,0.2472268044948578,0.37497469782829285,,,
87,7,3,,,,,,,,0.10172175616025925,0.1734263300895691,0.16424301266670227,,,
88,8,8,,,,,,,,0.4008800983428955,0.09737764298915863,0.22021816670894623,,,
89,9,9,,,,,,,,0.15798740088939667,0.2658570408821106,0.12517397105693817,,,
90,0,0,,,,,,,,0.299854576587677,0.7402897477149963,0.8357912302017212,,,
91,3,3,,,,,,,,0.2135615199804306,0.34196358919143677,0.44907212257385254,,,
92,8,8,,,,,,,,0.5725671052932739,0.30937013030052185,0.19717152416706085,,,
93,6,6,,,,,,,,0.33354172110557556,0.5973477959632874,0.1544458121061325,,,
94,4,4,,,,,,,,0.2591182589530945,0.21279506385326385,0.2599148750305176,,,
95,6,6,3,0.45714285714285713,0.6585365853658537,0.4676258992805755,0.913684070110321,0.9165398478507996,0.7918090224266052,0.14067235589027405,0.5806553363800049,0.034121207892894745,0.0818212553858757,0.5553202033042908,0.058777034282684326
96,6,6,,,,,,,,0.28583061695098877,0.4811352491378784,0.04864872246980667,,,
97,0,0,2,0.5111111111111111,0.3333333333333333,0.2,0.9356253147125244,0.8057921528816223,-0.036334484815597534,0.14404340088367462,0.11077278107404709,0.6682451367378235,0.09281104803085327,0.2881004214286804,0.7844194769859314
98,0,0,,,,,,,,0.46359172463417053,0.6279990077018738,0.5358263850212097,,,
