ds_idx,true,pred_clean,pred_adv,iou10_gc,iou10_ig,iou10_rise,rho_gc,rho_ig,rho_rise,del_auc_gc_clean,del_auc_ig_clean,del_auc_rise_clean,del_auc_gc_adv,del_auc_ig_adv,del_auc_rise_adv
0,3,3,,,,,,,,0.25743746757507324,0.7427040934562683,0.2814251482486725,,,
1,8,8,,,,,,,,0.3600694239139557,0.30506211519241333,0.13123683631420135,,,
2,8,8,,,,,,,,0.5289945006370544,0.0636640191078186,0.11962790042161942,,,
3,0,8,,,,,,,,0.4106593430042267,0.12691403925418854,0.06910669803619385,,,
4,6,6,,,,,,,,0.53626948595047,0.7656433582305908,0.6290767192840576,,,
5,6,6,,,,,,,,0.17557504773139954,0.5906553268432617,0.2058541625738144,,,
6,1,1,,,,,,,,0.0616520494222641,0.22108043730258942,0.1686275750398636,,,
7,6,6,6,0.5813953488372093,0.4068965517241379,0.3877551020408163,0.9344809651374817,0.7970650792121887,0.6691004037857056,0.23854999244213104,0.3800867795944214,0.08135245740413666,0.1958046704530716,0.5511268973350525,0.09380762279033661
8,3,3,5,0.4676258992805755,0.3783783783783784,0.21428571428571427,0.7901090383529663,0.7882038354873657,0.45026373863220215,0.20540711283683777,0.2964412569999695,0.3100920021533966,0.11367233097553253,0.2745935618877411,0.18507544696331024
9,1,1,,,,,,,,0.2065477967262268,0.26683270931243896,0.18044854700565338,,,
10,0,0,,,,,,,,0.6156447529792786,0.34543368220329285,0.5758729577064514,,,
11,9,9,,,,,,,,0.48124849796295166,0.32774320244789124,0.4064432978630066,,,
12,5,5,,,,,,,,0.2183428406715393,0.0381346121430397,0.15761590003967285,,,
13,7,7,,,,,,,,0.37077564001083374,0.09050766378641129,0.20419538021087646,,,
14,9,9,,,,,,,,0.2831346392631531,0.10616931319236755,0.3845234215259552,,,
15,8,6,,,,,,,,0.37748903036117554,0.6715224385261536,0.4453343152999878,,,
16,5,5,,,,,,,,0.26458296179771423,0.03573879227042198,0.12405210733413696,,,
17,7,7,,,,,,,,0.1490306258201599,0.1337069422006607,0.20923268795013428,,,
18,8,8,,,,,,,,0.5369253158569336,0.0471472293138504,0.15300293266773224,,,
19,6,6,,,,,,,,0.24851477146148682,0.5106853246688843,0.162834033370018,,,
20,7,7,5,0.2911392405063291,0.59375,0.6451612903225806,0.835080623626709,0.942719042301178,0.8271549940109253,0.28659120202064514,0.05721089988946915,0.10484332591295242,0.05506668984889984,0.04761282727122307,0.029190916568040848
21,0,0,,,,,,,,0.5295737981796265,0.5175624489784241,0.7359538078308105,,,
22,4,4,0,0.3509933774834437,0.44680851063829785,0.7435897435897436,0.9466776251792908,0.7164052724838257,0.6971853971481323,0.04317643493413925,0.03266119211912155,0.030331440269947052,0.0016360346926376224,0.06144038215279579,0.004763557109981775
23,9,9,,,,,,,,0.44799116253852844,0.46159908175468445,0.4115941822528839,,,
24,5,5,,,,,,,,0.27095553278923035,0.08282677829265594,0.12119108438491821,,,
25,2,2,,,,,,,,0.4760645031929016,0.1172340139746666,0.13381202518939972,,,
26,4,4,4,0.59375,0.5111111111111111,0.6062992125984252,0.8750250339508057,0.8782046437263489,0.7251498103141785,0.12315837293863297,0.1601332724094391,0.34437212347984314,0.032151754945516586,0.09230707585811615,0.18792390823364258
27,0,0,,,,,,,,0.561904788017273,0.29410475492477417,0.7369712591171265,,,
28,9,9,,,,,,,,0.3271695673465729,0.2063094824552536,0.13637787103652954,,,
29,6,6,,,,,,,,0.2707847058773041,0.5929005146026611,0.1653902530670166,,,
30,6,6,3,0.1657142857142857,0.3076923076923077,0.0967741935483871,0.31408703327178955,0.7641117572784424,0.3909507393836975,0.05756748095154762,0.2777995467185974,0.047211941331624985,0.12746737897396088,0.1852666437625885,0.011157283559441566
31,5,5,,,,,,,,0.21803587675094604,0.12742722034454346,0.18842816352844238,,,
32,4,4,,,,,,,,0.27293315529823303,0.15577173233032227,0.23010504245758057,,,
33,5,5,,,,,,,,0.24166013300418854,0.06262194365262985,0.0459950715303421,,,
34,9,9,,,,,,,,0.2799808084964752,0.15661565959453583,0.17765730619430542,,,
35,2,2,,,,,,,,0.3006252646446228,0.08950086683034897,0.04659334197640419,,,
36,4,4,4,0.6062992125984252,0.6859504132231405,0.6859504132231405,0.9914727807044983,0.9429344534873962,0.7756237387657166,0.2070789784193039,0.3288593292236328,0.06162198632955551,0.26494792103767395,0.36410266160964966,0.0975106954574585
37,1,1,9,0.10270270270270271,0.4676258992805755,0.42657342657342656,0.6938763856887817,0.8668609857559204,0.709485650062561,0.026735184714198112,0.15413102507591248,0.02967987023293972,0.006429985631257296,0.06539421528577805,0.02794436179101467
38,9,9,,,,,,,,0.40837350487709045,0.2619052529335022,0.09766887873411179,,,
39,5,5,,,,,,,,0.4315534234046936,0.05702239274978638,0.32992687821388245,,,
40,4,4,,,,,,,,0.15942496061325073,0.10303466767072678,0.18451108038425446,,,
41,6,6,,,,,,,,0.3644283711910248,0.34477728605270386,0.26213327050209045,,,
42,5,5,,,,,,,,0.13326190412044525,0.050230368971824646,0.11596085876226425,,,
43,6,6,,,,,,,,0.19458572566509247,0.4722215533256531,0.1026586964726448,,,
44,0,0,,,,,,,,0.2988358736038208,0.9068262577056885,0.843128502368927,,,
45,9,9,,,,,,,,0.4189295768737793,0.23075883090496063,0.16851668059825897,,,
46,3,3,,,,,,,,0.1657639890909195,0.5515764355659485,0.20308040082454681,,,
47,9,9,0,0.2289156626506024,0.34210526315789475,0.5111111111111111,0.40628522634506226,0.7953062653541565,0.801774263381958,0.1754860132932663,0.022409681230783463,0.03835996240377426,0.00034903507912531495,0.011099658906459808,0.00022737187100574374
48,7,7,,,,,,,,0.17618128657341003,0.15842925012111664,0.08757909387350082,,,
49,6,6,,,,,,,,0.10776377469301224,0.3201789855957031,0.10718033462762833,,,
50,9,9,,,,,,,,0.22821228206157684,0.16065706312656403,0.12450367957353592,,,
51,8,8,,,,,,,,0.49909481406211853,0.18236011266708374,0.23538456857204437,,,
52,0,5,,,,,,,,0.15137764811515808,0.06036465987563133,0.020770758390426636,,,
53,3,3,3,0.7894736842105263,0.5223880597014925,0.45714285714285713,0.9552662372589111,0.8737557530403137,0.6598473787307739,0.4971257746219635,0.2803691625595093,0.29314371943473816,0.3207104802131653,0.1973375529050827,0.49720579385757446
54,8,8,,,,,,,,0.28721287846565247,0.21776852011680603,0.07644622772932053,,,
55,8,8,,,,,,,,0.6525285243988037,0.08949913829565048,0.10867218673229218,,,
56,7,7,,,,,,,,0.3767281472682953,0.12079071253538132,0.09658128768205643,,,
57,7,5,,,,,,,,0.1322644203901291,0.027275053784251213,0.015850629657506943,,,
58,4,4,5,0.5223880597014925,0.44680851063829785,0.5223880597014925,0.8884382247924805,0.8490030765533447,0.6613129377365112,0.033681053668260574,0.24497486650943756,0.06944065541028976,0.006452492438256741,0.22386237978935242,7.771731179673225e-05
59,6,3,,,,,,,,0.5809918642044067,0.21454104781150818,0.23809152841567993,,,
60,7,7,,,,,,,,0.3525298535823822,0.136621356010437,0.20271462202072144,,,
61,3,5,,,,,,,,0.21662072837352753,0.047247979789972305,0.07371000945568085,,,
62,6,6,6,0.0851063829787234,0.5223880597014925,0.7288135593220338,0.70871901512146,0.884758472442627,0.703162431716919,0.052793264389038086,0.3283129930496216,0.13413849472999573,0.18358951807022095,0.35591208934783936,0.06288660317659378
63,3,3,,,,,,,,0.12333246320486069,0.2965838313102722,0.058307066559791565,,,
64,6,6,,,,,,,,0.15606193244457245,0.23858098685741425,0.13276611268520355,,,
65,2,2,,,,,,,,0.7487289309501648,0.3730604350566864,0.443950891494751,,,
66,1,1,,,,,,,,0.20716188848018646,0.18261271715164185,0.15258601307868958,,,
67,2,2,,,,,,,,0.32866090536117554,0.2579466998577118,0.18891668319702148,,,
68,3,3,3,0.2911392405063291,0.3877551020408163,0.3783783783783784,0.9517607092857361,0.865815281867981,0.5334646701812744,0.16138480603694916,0.17317230999469757,0.10983484983444214,0.19788667559623718,0.29840877652168274,0.14870230853557587
69,7,7,,,,,,,,0.0744069367647171,0.10734295099973679,0.023875068873167038,,,
70,2,2,0,0.6062992125984252,0.5454545454545454,0.632,0.9541375637054443,0.7759657502174377,0.7001539468765259,0.16208194196224213,0.11040373146533966,0.2655581533908844,0.03227188065648079,0.1516178846359253,0.1462094634771347
71,6,6,6,0.5,0.45714285714285713,0.3509933774834437,0.8987544775009155,0.7946256995201111,0.7177392840385437,0.09480037540197372,0.20201340317726135,0.038720469921827316,0.0887514278292656,0.2583846151828766,0.021894514560699463
72,8,8,,,,,,,,0.6034169793128967,0.10862824320793152,0.07918168604373932,,,
73,8,8,,,,,,,,0.36998483538627625,0.1604597121477127,0.10225649923086166,,,
74,0,0,,,,,,,,0.3985710144042969,0.6065114736557007,0.5151085257530212,,,
75,2,2,,,,,,,,0.4454774260520935,0.4724493622779846,0.7510982751846313,,,
76,9,9,,,,,,,,0.2052335888147354,0.16329073905944824,0.07869046926498413,,,
77,3,3,,,,,,,,0.2755553722381592,0.29930219054222107,0.4156506061553955,,,
78,3,5,,,,,,,,0.08809677511453629,0.04384054243564606,0.08068724721670151,,,
79,8,8,,,,,,,,0.2999173700809479,0.2035634070634842,0.23526141047477722,,,
80,8,8,,,,,,,,0.7553710341453552,0.2969987392425537,0.45255228877067566,,,
81,1,1,,,,,,,,0.11277029663324356,0.20385658740997314,0.24984993040561676,,,
82,1,1,,,,,,,,0.1343756467103958,0.29392555356025696,0.16697080433368683,,,
