ds_idx,true,pred_clean,pred_adv,iou10_gc,iou10_ig,iou10_rise,rho_gc,rho_ig,rho_rise,del_auc_gc_clean,del_auc_ig_clean,del_auc_rise_clean,del_auc_gc_adv,del_auc_ig_adv,del_auc_rise_adv
0,3,3,,,,,,,,0.257758442312479,0.6612122448161245,0.310243060893481,,,
1,8,8,,,,,,,,0.36020945011405275,0.32018967820722544,0.19569878124584647,,,
2,8,8,1,0.3076923076923077,0.6062992125984252,0.07368421052631578,0.46358248591423035,0.8038966655731201,0.34246981143951416,0.5271668162196875,0.07247219162454713,0.08001477440775487,0.17572510206373407,0.015380025907506933,0.08121574381827942
3,0,8,,,,,,,,0.4102325374260545,0.14245248417610132,0.021851767823363847,,,
4,6,6,,,,,,,,0.5363761369138956,0.8058785744011404,0.49911433649249376,,,
5,6,6,,,,,,,,0.17551762324292214,0.5586000634706578,0.14554321022908923,,,
6,1,1,9,0.1270718232044199,0.6062992125984252,0.3246753246753247,0.8991882801055908,0.9512722492218018,0.5506948828697205,0.06175116171398258,0.28288172975881026,0.13308497908470826,0.009834598153247498,0.16105422236578307,0.4144563474954339
7,6,6,2,0.3509933774834437,0.3333333333333333,0.10869565217391304,0.8256810903549194,0.7378759384155273,0.1975632607936859,0.23516301629570083,0.4033207017870155,0.3015531980898231,0.3163050073781052,0.6184053844190203,0.014395344387139629
8,3,3,5,0.4676258992805755,0.3877551020408163,0.05699481865284974,0.78981614112854,0.7905311584472656,0.23969963192939758,0.20458101824624467,0.28974470702814864,0.4232846051454544,0.11077342445496467,0.2919574003200978,0.30142422813223674
9,1,1,,,,,,,,0.20827573772403413,0.2307800779381069,0.21444845036639895,,,
10,0,0,,,,,,,,0.6140822574496269,0.3612576042767614,0.8248609073460104,,,
11,9,9,,,,,,,,0.4810050293570385,0.32787003895937233,0.5084250415133283,,,
12,5,5,,,,,,,,0.2177224550396204,0.08079710112458542,0.22533405918493374,,,
13,7,7,,,,,,,,0.3705411269853357,0.07159879082628322,0.29388312224036783,,,
14,9,9,,,,,,,,0.28311454806826075,0.1492779177151533,0.19076075375795656,,,
15,8,6,,,,,,,,0.37711709057912235,0.5973553790710867,0.2400478779522928,,,
16,5,5,,,,,,,,0.2646443349774927,0.06844571734927739,0.13715540684061128,,,
17,7,7,,,,,,,,0.1479032742907293,0.12815757963890068,0.25873776840453505,,,
18,8,8,,,,,,,,0.5526729339384473,0.0483760298051493,0.1676825720726811,,,
19,6,6,,,,,,,,0.24829787665366898,0.5402097454323666,0.1714898559608628,,,
20,7,7,5,0.3141025641025641,0.3509933774834437,0.4068965517241379,0.8203639984130859,0.8482707738876343,0.5661736726760864,0.28646265005809257,0.044031071686185905,0.1347236695721222,0.1074059113558178,0.030925014824606478,0.012976433970470682
21,0,0,,,,,,,,0.529658030718565,0.5244894871953875,0.4729794059880078,,,
22,4,4,0,0.06806282722513089,0.3691275167785235,0.1590909090909091,0.06626013666391373,0.6351284384727478,0.15893645584583282,0.043247639008041,0.031289348523569065,0.027514282066772464,0.00048180907756432127,0.10024551455353506,0.0002651211710134049
23,9,9,,,,,,,,0.44694654049235394,0.4420038982807455,0.31377361140237675,,,
24,5,5,4,0.5338345864661654,0.6451612903225806,0.20710059171597633,0.7869506478309631,0.9257454872131348,0.352660596370697,0.2706688881851733,0.06451388655491426,0.12745456469310734,0.11418519223807377,0.13687847056789904,0.057027343061054114
25,2,2,3,0.5454545454545454,0.5692307692307692,0.3509933774834437,0.950254499912262,0.8891015648841858,0.38787853717803955,0.47737511121667925,0.13561302923480978,0.35441867019981144,0.3360621877131052,0.16885080416686832,0.11347459489086306
26,4,4,3,0.2,0.3076923076923077,0.2289156626506024,0.6858450174331665,0.8369817137718201,0.29656511545181274,0.13432111584115775,0.13712888770969586,0.36967557346943075,0.20857205107458865,0.1369616774318274,0.1650527413044074
27,0,0,,,,,,,,0.5657027259469032,0.35942468983121223,0.7924482025206089,,,
28,9,9,1,0.19186046511627908,0.6190476190476191,0.25925925925925924,0.760759711265564,0.9204297065734863,0.36963075399398804,0.32598964788485324,0.22191590601905775,0.13963106723110744,0.03992641003860626,0.161523844547628,0.009532346440057536
29,6,6,,,,,,,,0.26272750457283106,0.5885534852277488,0.13460126855643467,,,
30,6,6,3,0.030303030303030304,0.3691275167785235,0.12087912087912088,-0.08854251354932785,0.8099336624145508,0.15935049951076508,0.057537338587280815,0.3224256348192285,0.04963016875699395,0.017598899017320944,0.22999772593611856,0.009878786633271373
31,5,5,3,0.275,0.44680851063829785,0.0967741935483871,0.8568503260612488,0.8693389296531677,0.01592761091887951,0.21791906021535393,0.06841718666896666,0.22885745148523712,0.22661009369185192,0.0752888678551244,0.34865273556642934
32,4,4,3,0.3076923076923077,0.42657342657342656,0.09090909090909091,0.8517864942550659,0.8600817918777466,0.29122909903526306,0.2728306313976645,0.1489055673999246,0.36624608171368894,0.042230820370605215,0.2578859456873034,0.0231315695833473
33,5,5,2,0.25153374233128833,0.44680851063829785,0.2830188679245283,0.6921477317810059,0.8690999746322632,0.5414091348648071,0.24136996692977847,0.060678875507983315,0.053123572751201206,0.02045842250677196,0.05904612845795326,0.03631845058491194
34,9,9,,,,,,,,0.27952963475836445,0.1732925584460567,0.18733976407010006,,,
35,2,2,3,0.009900990099009901,0.48905109489051096,0.09090909090909091,0.45536893606185913,0.8918084502220154,0.35318899154663086,0.29958670553751293,0.11452143215574326,0.056307756147180046,0.05108574054202108,0.06994053302332759,0.030707745283962133
