ds_idx,true,pred_clean,del_auc_gc_clean,del_auc_ig_clean,del_auc_rise_clean
0,3,3,0.25775844290619715,0.7284432043932612,0.4318533911518898
1,8,8,0.3602094526373548,0.36725802006480995,0.25328147469117535
2,8,8,0.5271667952416464,0.07254703896669529,0.14624776273840326
3,0,8,0.41023252923041587,0.11696611135915874,0.09167018096468382
4,6,6,0.53637612182647,0.7554827906191349,0.40334952397679447
5,6,6,0.17551762263756243,0.5500794221734396,0.30201846585869135
6,1,1,0.06175116087169956,0.19051480567650295,0.17361911222358234
7,6,6,0.23516301269119141,0.4069793924514671,0.13965160877933158
8,3,3,0.20458101845870263,0.2933522301609628,0.24824209439575495
9,1,1,0.20827574300055857,0.24651246954745148,0.12026510280579715
10,0,0,0.6140822749584912,0.32755603446858006,0.7791369175538422
11,9,9,0.4810050178581151,0.29739996934558804,0.3758920287478759
12,5,5,0.21772246652690228,0.07283334378371363,0.1332931123341723
13,7,7,0.37054111793404443,0.06862192609150952,0.2382137076152503
14,9,9,0.2831145466039743,0.1216359485956673,0.21771074260716436
15,8,6,0.37711709532886745,0.6622821704484524,0.0613707954123072
16,5,5,0.264644344500266,0.052708168193385044,0.19180636984945065
17,7,7,0.14790327044320292,0.12150625874693333,0.16931534285633917
18,8,8,0.5526729169941973,0.04004350567257262,0.16909464553250478
19,6,6,0.24829787814414886,0.5684174796213483,0.3045272624432983
20,7,7,0.28646265308052543,0.031971307296771556,0.19692501148324484
21,0,0,0.5296580247581005,0.5455394385309773,0.7858379132056144
22,4,4,0.04324765113851754,0.03489834546057864,0.08160963611576334
23,9,9,0.4469465408095857,0.44609228096142034,0.27949547690103604
24,5,5,0.2706688980106265,0.10175801202202023,0.17829536947065205
25,2,2,0.47737512740422977,0.14834081743611027,0.2718858054995509
26,4,4,0.13432112007867542,0.14569684246052933,0.20893505712301705
27,0,0,0.5657027301378549,0.34939233798359054,0.785275987163186
28,9,9,0.3259896547999233,0.18052415157017096,0.21121364688828814
29,6,6,0.26272751449723725,0.5938707423629239,0.058369946735183476
30,6,6,0.05753733979672687,0.282835421742493,0.04649038797451793
31,5,5,0.21791906732833008,0.10901335387998184,0.22742833421616523
32,4,4,0.27283062395290475,0.15558655043132602,0.3548539062283567
33,5,5,0.24136996238812572,0.0656289482899865,0.03369796942555609
34,9,9,0.2795296370226424,0.1679551927892394,0.3322575242694581
35,2,2,0.29958671026397493,0.06714893543539803,0.09068435642427729
36,4,4,0.20688604393217247,0.40156620819470845,0.190715747537115
37,1,1,0.026858227227057795,0.19354307355060882,0.06659072369420757
38,9,9,0.40860549107419497,0.28011834077622094,0.5993676710664204
39,5,5,0.42302313824766313,0.04538984734335257,0.23912835043665837
40,4,4,0.15941283432766798,0.07407727908503146,0.10222549893658979
41,6,6,0.36453044805675744,0.38789283977112066,0.10413071869916164
42,5,5,0.13251708052739558,0.048404711221837704,0.16917757684930168
43,6,6,0.19444235340852176,0.4679408872660133,0.1483389933678154
44,0,0,0.2991730350768194,0.8964496561209673,0.9597184058278799
45,9,9,0.41871485966257754,0.2258491255475747,0.24159055545106914
46,3,3,0.16334715272532777,0.5213134283461841,0.2740899294411065
47,9,9,0.1753093034880294,0.019096928238150217,0.011828823507858032
48,7,7,0.1759965678298613,0.14778803930423692,0.1292156562965829
49,6,6,0.10773668717592955,0.36988311251625416,0.12095152201873134
50,9,9,0.2280905801781046,0.16415925378023527,0.5204673608379381
51,8,8,0.49914782904088495,0.18251845228951427,0.16467329906236614
52,0,5,0.15118018674329506,0.06748032453897393,0.02413688457596095
53,3,3,0.49675003961237957,0.30428885662257693,0.28577703057671894
54,8,8,0.27789255267707635,0.24007683788511264,0.07068205610744119
55,8,8,0.6394367223605512,0.07165661579797414,0.17997907100008206
56,7,7,0.3589617886878841,0.09704509898474499,0.39814999734508094
57,7,5,0.1353371176181099,0.032007142659313086,0.08170641943124791
58,4,4,0.033860597519378643,0.22427987583505457,0.01815294974094286
59,6,3,0.5806577255949378,0.24947198115962693,0.2588472040009947
60,7,7,0.352677096077241,0.12604353650285707,0.267883719291558
61,3,5,0.21655290201279057,0.047576515242265305,0.10307867399533277
62,6,6,0.052671746321721,0.31067558911745435,0.0884863998750319
63,3,3,0.12306886330570706,0.3290456560440362,0.06128183532618436
64,6,6,0.1519439775380306,0.21551472023129462,0.07572638108244975
65,2,2,0.7487621766398662,0.4408925759518752,0.2922230103162292
66,1,1,0.20737076234654525,0.19502472494932585,0.2226522878567607
67,2,2,0.325065364188049,0.2963226715219207,0.6930070506874473
68,3,3,0.1639645667281002,0.1719137286667774,0.11263307534391061
69,7,7,0.07484122277055576,0.11962950866909522,0.022765697427106348
70,2,2,0.16213742797644956,0.14744539790727915,0.2104156027548015
71,6,6,0.09473381376446922,0.22411276667844507,0.046088898997368226
72,8,8,0.6006651189178228,0.09825221492501442,0.10266475128591993
73,8,8,0.36442700421903285,0.15755478298797246,0.3984400099609048
74,0,0,0.3987859109882266,0.6293829087517224,0.3255588900763541
75,2,2,0.44974670994561167,0.4871541765169241,0.694470677526715
76,9,9,0.20536540660104943,0.1386321834091177,0.11363644529441912
77,3,3,0.26310089063481434,0.2979865854764285,0.5250457674148493
78,3,5,0.0890662251455069,0.06463429959592303,0.11407290972352511
79,8,8,0.2982065572403372,0.20500573117469686,0.2996264729648828
80,8,8,0.7554620312526823,0.3049464635143522,0.40186796697485083
81,1,1,0.11185876108193042,0.20959808566549326,0.18391330023791852
82,1,1,0.13438253564527256,0.33850866958418924,0.20056321989102913
83,7,7,0.25140872505762674,0.16454171614491314,0.32969110017438663
84,2,2,0.2871633791015484,0.12896294841320924,0.15220682224658047
85,5,5,0.059771850667311804,0.047221907191933345,0.0916721425383487
86,2,2,0.4827449052128942,0.21168890893313802,0.09928874500219535
87,7,3,0.10820073256290925,0.16611689781275343,0.08712822513557511
88,8,8,0.4010068558854982,0.11902154460221938,0.13643916200880993
89,9,9,0.1579873878843046,0.23425090704031395,0.13717266020947677
90,0,0,0.30142189576872624,0.7057152714114636,0.8989914305508137
91,3,3,0.21543593001551928,0.2212210792480619,0.36471036111615834
