ds_idx,true,pred_clean,pred_adv,iou10_gc,iou10_ig,iou10_rise,rho_gc,rho_ig,rho_rise,del_auc_gc_clean,del_auc_ig_clean,del_auc_rise_clean,del_auc_gc_adv,del_auc_ig_adv,del_auc_rise_adv
0,3,3,,,,,,,,0.25743746757507324,0.7427040934562683,0.32194873690605164,,,
1,8,8,,,,,,,,0.3600694239139557,0.30506211519241333,0.17375783622264862,,,
2,8,8,,,,,,,,0.5289945006370544,0.0636640191078186,0.2539001405239105,,,
3,0,8,,,,,,,,0.4106593430042267,0.12691403925418854,0.04250207915902138,,,
4,6,6,,,,,,,,0.53626948595047,0.7656433582305908,0.6600905656814575,,,
5,6,6,,,,,,,,0.17557504773139954,0.5906553268432617,0.24856595695018768,,,
6,1,1,,,,,,,,0.0616520494222641,0.22108043730258942,0.1218545064330101,,,
7,6,6,2,0.48905109489051096,0.3333333333333333,0.3877551020408163,0.8441709280014038,0.7387255430221558,0.4914594292640686,0.23854999244213104,0.3800867795944214,0.1554378718137741,0.14834724366664886,0.5011454820632935,0.09189919382333755
8,3,3,3,0.5572519083969466,0.3972602739726027,0.0625,0.8856496810913086,0.8125444650650024,0.3928892910480499,0.20540711283683777,0.2964412569999695,0.458040714263916,0.08069881796836853,0.2781810164451599,0.32389602065086365
9,1,1,,,,,,,,0.2065477967262268,0.26683270931243896,0.19869926571846008,,,
10,0,0,,,,,,,,0.6156447529792786,0.34543368220329285,0.32683804631233215,,,
11,9,9,,,,,,,,0.48124849796295166,0.32774320244789124,0.35809317231178284,,,
12,5,5,,,,,,,,0.2183428406715393,0.0381346121430397,0.2830377221107483,,,
13,7,7,,,,,,,,0.37077564001083374,0.09050766378641129,0.30000919103622437,,,
14,9,9,,,,,,,,0.2831346392631531,0.10616931319236755,0.3017728626728058,,,
15,8,6,,,,,,,,0.37748903036117554,0.6715224385261536,0.21095998585224152,,,
16,5,5,,,,,,,,0.26458296179771423,0.03573879227042198,0.08574207127094269,,,
17,7,7,,,,,,,,0.1490306258201599,0.1337069422006607,0.30432355403900146,,,
18,8,8,,,,,,,,0.5369253158569336,0.0471472293138504,0.08017423748970032,,,
19,6,6,,,,,,,,0.24851477146148682,0.5106853246688843,0.08085152506828308,,,
20,7,7,7,0.8378378378378378,0.8715596330275229,0.45714285714285713,0.995887815952301,0.991138219833374,0.7121268510818481,0.28659120202064514,0.05721089988946915,0.10300374031066895,0.3049466609954834,0.11213482171297073,0.019047079607844353
21,0,0,,,,,,,,0.5295737981796265,0.5175624489784241,0.7558503746986389,,,
22,4,4,4,0.6721311475409836,0.3691275167785235,0.4782608695652174,0.9862393140792847,0.6856911182403564,0.5259077548980713,0.04317643493413925,0.03266119211912155,0.03307813033461571,0.022705160081386566,0.0510256253182888,0.022420570254325867
23,9,9,,,,,,,,0.44799116253852844,0.46159908175468445,0.30912595987319946,,,
24,5,5,,,,,,,,0.27095553278923035,0.08282677829265594,0.09634287655353546,,,
25,2,2,,,,,,,,0.4760645031929016,0.1172340139746666,0.14812307059764862,,,
26,4,4,4,0.6190476190476191,0.48905109489051096,0.4782608695652174,0.883070707321167,0.8626028299331665,0.5501192808151245,0.12315837293863297,0.1601332724094391,0.3415321111679077,0.02666393481194973,0.12106087803840637,0.2237541675567627
27,0,0,,,,,,,,0.561904788017273,0.29410475492477417,0.8998344540596008,,,
28,9,9,9,0.45714285714285713,0.7739130434782608,0.11475409836065574,0.9772470593452454,0.9323235750198364,0.6259851455688477,0.3271695673465729,0.2063094824552536,0.2161717563867569,0.2741890847682953,0.1709160953760147,0.2393684834241867
29,6,6,,,,,,,,0.2707847058773041,0.5929005146026611,0.06886378675699234,,,
30,6,6,6,0.9615384615384616,0.3161290322580645,0.43661971830985913,0.9846269488334656,0.773781418800354,0.6872291564941406,0.05756748095154762,0.2777995467185974,0.03552411124110222,0.05092988163232803,0.17633123695850372,0.05253107473254204
31,5,5,,,,,,,,0.21803587675094604,0.12742722034454346,0.31834620237350464,,,
32,4,4,,,,,,,,0.27293315529823303,0.15577173233032227,0.25147199630737305,,,
33,5,5,,,,,,,,0.24166013300418854,0.06262194365262985,0.0419977605342865,,,
34,9,9,,,,,,,,0.2799808084964752,0.15661565959453583,0.2425907403230667,,,
35,2,2,,,,,,,,0.3006252646446228,0.08950086683034897,0.1605546921491623,,,
36,4,4,4,0.7288135593220338,0.4782608695652174,0.5813953488372093,0.9825003147125244,0.9383186101913452,0.6139570474624634,0.2070789784193039,0.3288593292236328,0.048349153250455856,0.39816612005233765,0.4102523624897003,0.08209691196680069
37,1,1,9,0.4782608695652174,0.6859504132231405,0.3076923076923077,0.9587575197219849,0.9112100601196289,0.5849502086639404,0.026735184714198112,0.15413102507591248,0.08710858970880508,0.018833067268133163,0.13223432004451752,0.031207337975502014
38,9,9,,,,,,,,0.40837350487709045,0.2619052529335022,0.15567056834697723,,,
39,5,5,,,,,,,,0.4315534234046936,0.05702239274978638,0.2757960259914398,,,
40,4,4,,,,,,,,0.15942496061325073,0.10303466767072678,0.16834011673927307,,,
41,6,6,,,,,,,,0.3644283711910248,0.34477728605270386,0.2796330153942108,,,
42,5,5,,,,,,,,0.13326190412044525,0.050230368971824646,0.15057767927646637,,,
43,6,6,,,,,,,,0.19458572566509247,0.4722215533256531,0.13556607067584991,,,
44,0,0,,,,,,,,0.2988358736038208,0.9068262577056885,0.9546082615852356,,,
45,9,9,,,,,,,,0.4189295768737793,0.23075883090496063,0.1649172306060791,,,
46,3,3,,,,,,,,0.1657639890909195,0.5515764355659485,0.3142412006855011,,,
47,9,9,0,0.2289156626506024,0.34210526315789475,0.2215568862275449,0.4089586138725281,0.7980067729949951,0.6741499900817871,0.1754860132932663,0.022409681230783463,0.0185370035469532,0.0003423741727601737,0.007196409162133932,0.0003571957640815526
48,7,7,,,,,,,,0.17618128657341003,0.15842925012111664,0.08058930933475494,,,
49,6,6,,,,,,,,0.10776377469301224,0.3201789855957031,0.11838559806346893,,,
50,9,9,,,,,,,,0.22821228206157684,0.16065706312656403,0.20756584405899048,,,
51,8,8,,,,,,,,0.49909481406211853,0.18236011266708374,0.2163984775543213,,,
52,0,5,,,,,,,,0.15137764811515808,0.06036465987563133,0.021631311625242233,,,
53,3,3,5,0.24390243902439024,0.44680851063829785,0.18604651162790697,0.7472730875015259,0.7998061776161194,0.5501347780227661,0.4971257746219635,0.2803691625595093,0.626674473285675,0.10954363644123077,0.33493661880493164,0.07108085602521896
54,8,8,,,,,,,,0.28721287846565247,0.21776852011680603,0.13184961676597595,,,
55,8,8,,,,,,,,0.6525285243988037,0.08949913829565048,0.16767315566539764,,,
56,7,7,,,,,,,,0.3767281472682953,0.12079071253538132,0.13430221378803253,,,
57,7,5,,,,,,,,0.1322644203901291,0.027275053784251213,0.02013038657605648,,,
58,4,4,5,0.7288135593220338,0.5813953488372093,0.5813953488372093,0.9724624752998352,0.9056150913238525,0.4534834027290344,0.033681053668260574,0.24497486650943756,0.12378299981355667,0.07467061281204224,0.14104773104190826,0.06940051168203354
59,6,3,,,,,,,,0.5809918642044067,0.21454104781150818,0.16300906240940094,,,
60,7,7,,,,,,,,0.3525298535823822,0.136621356010437,0.3727603554725647,,,
61,3,5,,,,,,,,0.21662072837352753,0.047247979789972305,0.1013198122382164,,,
62,6,6,6,0.9805825242718447,0.7,0.7,0.9952666759490967,0.9346826076507568,0.5724815130233765,0.052793264389038086,0.3283129930496216,0.09771318733692169,0.05486755818128586,0.3995770215988159,0.09891680628061295
63,3,3,,,,,,,,0.12333246320486069,0.2965838313102722,0.14080630242824554,,,
64,6,6,,,,,,,,0.15606193244457245,0.23858098685741425,0.13402730226516724,,,
65,2,2,,,,,,,,0.7487289309501648,0.3730604350566864,0.546903669834137,,,
66,1,1,,,,,,,,0.20716188848018646,0.18261271715164185,0.14254404604434967,,,
67,2,2,,,,,,,,0.32866090536117554,0.2579466998577118,0.28815674781799316,,,
68,3,3,3,0.5223880597014925,0.7142857142857143,0.1270718232044199,0.8726782202720642,0.9440693855285645,0.34822940826416016,0.16138480603694916,0.17317230999469757,0.25070449709892273,0.10777934640645981,0.1661786288022995,0.17504042387008667
69,7,7,,,,,,,,0.0744069367647171,0.10734295099973679,0.06479158997535706,,,
70,2,2,0,0.5813953488372093,0.5111111111111111,0.6062992125984252,0.9476830959320068,0.7652745246887207,0.5607417821884155,0.16208194196224213,0.11040373146533966,0.45505085587501526,0.01962304674088955,0.2644539773464203,0.0844462662935257
71,6,6,6,0.6451612903225806,0.6190476190476191,0.6451612903225806,0.9757243394851685,0.8490307331085205,0.8238788843154907,0.09480037540197372,0.20201340317726135,0.04448513686656952,0.0554237887263298,0.3237804174423218,0.04026985168457031
72,8,8,8,0.48905109489051096,0.3877551020408163,0.6721311475409836,0.9306240677833557,0.8594579696655273,0.5521716475486755,0.6034169793128967,0.10862824320793152,0.1305811107158661,0.5819988250732422,0.08639094978570938,0.05371285602450371
73,8,8,,,,,,,,0.36998483538627625,0.1604597121477127,0.1507742702960968,,,
74,0,0,,,,,,,,0.3985710144042969,0.6065114736557007,0.5392600297927856,,,
75,2,2,,,,,,,,0.4454774260520935,0.4724493622779846,0.6187645196914673,,,
76,9,9,,,,,,,,0.2052335888147354,0.16329073905944824,0.12406441569328308,,,
77,3,3,,,,,,,,0.2755553722381592,0.29930219054222107,0.35796302556991577,,,
78,3,5,,,,,,,,0.08809677511453629,0.04384054243564606,0.07727047801017761,,,
79,8,8,,,,,,,,0.2999173700809479,0.2035634070634842,0.17802873253822327,,,
80,8,8,,,,,,,,0.7553710341453552,0.2969987392425537,0.4388578236103058,,,
81,1,1,,,,,,,,0.11277029663324356,0.20385658740997314,0.38251015543937683,,,
82,1,1,,,,,,,,0.1343756467103958,0.29392555356025696,0.134292334318161,,,
83,7,7,,,,,,,,0.25155237317085266,0.10469206422567368,0.4595594108104706,,,
84,2,2,5,0.3783783783783784,0.3783783783783784,0.2670807453416149,0.68421471118927,0.8179632425308228,0.4515090584754944,0.289030522108078,0.11017315089702606,0.21630211174488068,0.1568455696105957,0.13884574174880981,0.0900099128484726
85,5,5,,,,,,,,0.060038622468709946,0.0522647388279438,0.09781484305858612,,,
86,2,2,,,,,,,,0.4828418791294098,0.19374890625476837,0.3640490472316742,,,
87,7,3,,,,,,,,0.10732459276914597,0.15692494809627533,0.12033279240131378,,,
88,8,8,,,,,,,,0.4043201506137848,0.09185317158699036,0.19478341937065125,,,
89,9,9,,,,,,,,0.15838401019573212,0.2412831038236618,0.16192863881587982,,,
90,0,0,,,,,,,,0.3059294819831848,0.7137773633003235,0.9288288950920105,,,
91,3,3,,,,,,,,0.21309533715248108,0.28155893087387085,0.23736929893493652,,,
92,8,8,,,,,,,,0.5730233192443848,0.32176217436790466,0.1730581820011139,,,
93,6,6,,,,,,,,0.3297315537929535,0.5847789645195007,0.3203277885913849,,,
94,4,4,,,,,,,,0.2593388855457306,0.20156151056289673,0.2869241535663605,,,
95,6,6,3,0.44680851063829785,0.6451612903225806,0.3333333333333333,0.9132542014122009,0.9193960428237915,0.7560537457466125,0.14156591892242432,0.579099178314209,0.16685615479946136,0.08011674880981445,0.5496288537979126,0.15053190290927887
96,6,6,,,,,,,,0.28605160117149353,0.48733633756637573,0.07905294001102448,,,
97,0,0,0,0.5223880597014925,0.44680851063829785,0.1724137931034483,0.975325882434845,0.8151627779006958,0.2677784562110901,0.1439712792634964,0.12141132354736328,0.3496643304824829,0.13284800946712494,0.21071593463420868,0.2899753153324127
98,0,0,,,,,,,,0.4767027795314789,0.6122825145721436,0.8288382887840271,,,
99,7,7,,,,,,,,0.17806851863861084,0.07953044027090073,0.15852196514606476,,,
100,4,4,,,,,,,,0.21082289516925812,0.1588553935289383,0.18864573538303375,,,
101,5,5,,,,,,,,0.07744261622428894,0.03514301776885986,0.09351968765258789,,,
102,6,6,,,,,,,,0.2191578447818756,0.2535514831542969,0.17190304398536682,,,
103,3,3,,,,,,,,0.32616761326789856,0.4347095787525177,0.3100111186504364,,,
104,1,1,,,,,,,,0.23514266312122345,0.08915998041629791,0.29071125388145447,,,
105,1,1,,,,,,,,0.3231945335865021,0.5390764474868774,0.1910126507282257,,,
106,3,3,,,,,,,,0.062319204211235046,0.2520102262496948,0.02983303926885128,,,
107,6,6,,,,,,,,0.4159107208251953,0.6450346112251282,0.2977938950061798,,,
108,8,8,,,,,,,,0.4406174421310425,0.38818085193634033,0.22582662105560303,,,
109,7,7,,,,,,,,0.16230419278144836,0.04152875393629074,0.2267087996006012,,,
110,4,4,,,,,,,,0.2556346356868744,0.33572202920913696,0.1834515780210495,,,
111,0,0,,,,,,,,0.701181948184967,0.6453539133071899,0.6429579257965088,,,
112,6,6,,,,,,,,0.14357922971248627,0.31114643812179565,0.3028718829154968,,,
113,2,2,,,,,,,,0.5430223941802979,0.2661389708518982,0.43752989172935486,,,
114,1,1,,,,,,,,0.2843345105648041,0.07343944907188416,0.2031736969947815,,,
115,3,3,,,,,,,,0.22852203249931335,0.5224248766899109,0.1640729010105133,,,
116,0,0,,,,,,,,0.3626066744327545,0.6540724635124207,0.5780344605445862,,,
117,4,4,,,,,,,,0.1818767935037613,0.24540065228939056,0.08557872474193573,,,
118,2,6,,,,,,,,0.036040980368852615,0.38126638531684875,0.07396329194307327,,,
119,7,7,,,,,,,,0.22814704477787018,0.08840418606996536,0.29947319626808167,,,
120,8,8,,,,,,,,0.7984707355499268,0.10739856213331223,0.2400152087211609,,,
121,3,3,,,,,,,,0.49498051404953003,0.37787729501724243,0.2896961271762848,,,
122,1,1,,,,,,,,0.41509971022605896,0.10674425959587097,0.3761838674545288,,,
123,2,2,,,,,,,,0.6941576600074768,0.30963432788848877,0.34116092324256897,,,
124,8,8,0,0.18604651162790697,0.3161290322580645,0.1270718232044199,0.21376711130142212,0.8066943883895874,0.17945411801338196,0.47562140226364136,0.0354037769138813,0.031380947679281235,0.0028551446739584208,0.05715080723166466,0.0028025368228554726
125,0,2,,,,,,,,0.17677508294582367,0.21524563431739807,0.12326915562152863,,,
126,8,8,,,,,,,,0.8053894639015198,0.1166902482509613,0.3028154671192169,,,
127,3,3,,,,,,,,0.3439812958240509,0.26884928345680237,0.4353680908679962,,,
128,5,3,,,,,,,,0.11491013318300247,0.4070696532726288,0.11164272576570511,,,
129,2,2,,,,,,,,0.5036118030548096,0.30409955978393555,0.40204918384552,,,
130,4,4,,,,,,,,0.10460279136896133,0.17868418991565704,0.20289750397205353,,,
131,1,1,,,,,,,,0.3362084925174713,0.45586034655570984,0.33115363121032715,,,
132,8,8,,,,,,,,0.3309081494808197,0.11906430125236511,0.26180416345596313,,,
133,9,9,,,,,,,,0.6478840708732605,0.28436896204948425,0.18268102407455444,,,
134,1,1,,,,,,,,0.10076446831226349,0.2935841679573059,0.11076442152261734,,,
135,2,2,,,,,,,,0.700892448425293,0.16453567147254944,0.6388124227523804,,,
136,9,9,,,,,,,,0.3849276900291443,0.179130420088768,0.37179288268089294,,,
137,7,7,,,,,,,,0.1740403026342392,0.31002193689346313,0.21523670852184296,,,
138,2,2,,,,,,,,0.7560847997665405,0.10522163659334183,0.6789307594299316,,,
139,9,9,,,,,,,,0.03576856851577759,0.030507072806358337,0.03704562783241272,,,
140,6,6,,,,,,,,0.3098521828651428,0.39109012484550476,0.09155252575874329,,,
141,5,5,,,,,,,,0.377572238445282,0.06097908318042755,0.260455459356308,,,
142,6,6,,,,,,,,0.28011879324913025,0.3932514190673828,0.19149751961231232,,,
143,3,3,5,0.8545454545454545,0.7142857142857143,0.36,0.9898676872253418,0.9470324516296387,0.44030559062957764,0.04999622330069542,0.18829667568206787,0.1782073825597763,0.06470471620559692,0.2166317105293274,0.04633735492825508
144,8,8,,,,,,,,0.7580513954162598,0.18548452854156494,0.16528430581092834,,,
145,7,7,7,0.8715596330275229,0.632,0.2670807453416149,0.9443691968917847,0.924882709980011,0.6669977903366089,0.10462155938148499,0.053275249898433685,0.0729174017906189,0.04440521448850632,0.030876655131578445,0.03550274297595024
146,6,6,,,,,,,,0.11729273200035095,0.625836968421936,0.27704036235809326,,,
147,2,5,,,,,,,,0.2336014211177826,0.042690765112638474,0.10997680574655533,,,
148,5,5,,,,,,,,0.08040473610162735,0.06835882365703583,0.03352844715118408,,,
149,2,2,,,,,,,,0.8436752557754517,0.2532815635204315,0.4657367169857025,,,
150,8,8,,,,,,,,0.3432217836380005,0.09028025716543198,0.2577965259552002,,,
151,9,9,,,,,,,,0.056338466703891754,0.10732696205377579,0.0839962363243103,,,
152,6,6,,,,,,,,0.07882235944271088,0.34122538566589355,0.1587408035993576,,,
153,0,0,,,,,,,,0.6365433931350708,0.3471035957336426,0.8535481691360474,,,
154,0,0,,,,,,,,0.44952380657196045,0.5433416366577148,0.7850370407104492,,,
155,5,5,,,,,,,,0.27548444271087646,0.031911902129650116,0.07339071482419968,,,
156,2,2,,,,,,,,0.46512266993522644,0.23480340838432312,0.26469287276268005,,,
157,9,9,,,,,,,,0.25926148891448975,0.09375079721212387,0.2933032810688019,,,
158,5,3,,,,,,,,0.4796493351459503,0.5441868305206299,0.05864701047539711,,,
159,4,4,,,,,,,,0.16608497500419617,0.31401604413986206,0.13363884389400482,,,
160,2,2,,,,,,,,0.6372320055961609,0.09252400696277618,0.16860778629779816,,,
161,1,1,,,,,,,,0.16759806871414185,0.33179137110710144,0.11053575575351715,,,
162,6,6,,,,,,,,0.19775284826755524,0.45186734199523926,0.03564728423953056,,,
163,6,6,,,,,,,,0.38837605714797974,0.6192014217376709,0.34192708134651184,,,
