image_id,ds_idx,true_label,pred_before,conf_before,mode,target_label,success,adv_label,adv_conf,gens_used,queries,x,y,r,g,b,pop_size,F,Cr,max_gens,es_target,es_nonadv,seed,commit,device
0,0,3,3,1.000000,untargeted,,0,3,0.999945,100,40400,12,17,0.000163,0.000000,0.671326,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
1,1,8,8,0.999995,untargeted,,0,8,0.980156,100,40400,9,22,1.000000,1.000000,1.000000,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
2,2,8,8,0.924630,untargeted,,1,1,0.951010,18,7600,11,27,1.000000,0.000000,0.000000,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
3,4,6,6,0.999998,untargeted,,0,6,0.997799,100,40400,20,19,0.000000,0.000000,0.986525,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
4,5,6,6,0.999998,untargeted,,0,6,0.969140,100,40400,14,14,0.000029,0.004548,0.754207,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
5,6,1,1,0.902705,untargeted,,1,9,0.799800,100,40400,26,20,0.229659,0.077672,0.000039,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
6,7,6,6,0.999172,untargeted,,1,2,0.952700,0,400,19,12,1.000000,1.000000,1.000000,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
7,8,3,3,0.999905,untargeted,,1,5,0.969773,8,3600,15,9,0.000000,0.227370,1.000000,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
8,9,1,1,0.999316,untargeted,,0,1,0.968532,100,40400,16,12,0.999548,0.999831,1.000000,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
9,10,0,0,0.999997,untargeted,,0,0,0.930285,100,40400,25,5,0.000000,0.000000,0.998418,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
10,11,9,9,1.000000,untargeted,,0,9,1.000000,100,40400,7,22,1.000000,1.000000,1.000000,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
11,12,5,5,0.998657,untargeted,,0,5,0.747787,100,40400,11,13,0.763608,1.000000,0.594278,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
12,13,7,7,0.999997,untargeted,,0,7,0.998994,100,40400,18,23,0.999764,0.950657,0.469444,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
13,14,9,9,0.999956,untargeted,,0,9,0.996450,100,40400,24,7,0.999645,1.000000,0.998867,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
14,16,5,5,0.999980,untargeted,,0,5,0.840496,100,40400,12,8,0.000337,1.000000,1.000000,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
15,17,7,7,0.999994,untargeted,,0,7,0.957045,100,40400,14,15,0.997286,1.000000,1.000000,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
16,18,8,8,0.999962,untargeted,,0,8,0.789600,100,40400,15,26,0.999017,0.999650,1.000000,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
17,19,6,6,1.000000,untargeted,,0,6,0.999887,100,40400,12,17,0.000373,0.000180,0.690830,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
18,20,7,7,0.624906,untargeted,,1,5,0.971736,0,400,19,9,1.000000,0.144205,1.000000,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
19,21,0,0,0.999595,untargeted,,0,0,0.573743,100,40400,22,8,0.999595,1.000000,1.000000,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
20,22,4,4,0.976834,untargeted,,1,0,0.982785,0,400,20,15,1.000000,1.000000,0.000000,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
21,23,9,9,1.000000,untargeted,,0,9,0.999999,100,40400,2,12,0.993388,1.000000,0.000000,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
22,24,5,5,0.994192,untargeted,,1,4,0.614898,100,40400,11,11,0.000447,1.000000,0.000214,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
23,25,2,2,0.895701,untargeted,,1,3,0.946454,7,3200,24,20,0.872518,0.773082,0.718149,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
24,26,4,4,0.999963,untargeted,,1,3,0.951274,5,2400,15,20,1.000000,0.898247,0.934067,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
25,27,0,0,1.000000,untargeted,,0,0,0.999875,100,40400,18,5,0.000000,0.000000,1.000000,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
26,28,9,9,0.999638,untargeted,,1,1,0.902190,100,40400,15,14,1.000000,0.863340,0.540179,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
27,29,6,6,0.995021,untargeted,,0,6,0.744511,100,40400,20,21,0.997296,0.999205,1.000000,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
28,30,6,6,0.997374,untargeted,,1,3,0.985502,0,400,13,16,0.000000,1.000000,1.000000,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
29,31,5,5,1.000000,untargeted,,1,3,0.863926,100,40400,17,11,0.000000,0.350171,0.002027,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
30,32,4,4,0.999955,untargeted,,1,5,0.794442,100,40400,16,15,0.000759,0.000000,0.162676,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
31,33,5,5,0.997114,untargeted,,1,2,0.675375,100,40400,24,8,1.000000,0.999489,1.000000,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
32,34,9,9,1.000000,untargeted,,0,9,0.999973,100,40400,9,16,1.000000,1.000000,0.998641,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
33,35,2,2,0.973629,untargeted,,1,3,0.986450,3,1600,16,10,1.000000,1.000000,0.814570,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
34,36,4,4,0.979074,untargeted,,1,5,0.935134,100,40400,19,16,0.000578,0.000026,0.284865,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
35,37,1,1,0.701992,untargeted,,1,9,0.971247,0,400,15,21,0.841101,0.124738,0.000000,400,0.5,0.9,100,0.9,0.05,1337,11c8d7a,cuda
