image_id,label_idx,label,pred_idx,pred,correct,confidence
0,3,cat,3,cat,1,1.0
1,5,dog,5,dog,1,0.9999834299087524
2,8,ship,8,ship,1,0.9996080994606018
3,9,truck,9,truck,1,0.9999579191207886
4,6,frog,6,frog,1,0.999964714050293
5,1,automobile,1,automobile,1,0.9999500513076782
6,8,ship,8,ship,1,0.999496340751648
7,9,truck,9,truck,1,0.999992847442627
8,8,ship,8,ship,1,0.9999936819076538
9,1,automobile,1,automobile,1,0.9996395111083984
10,4,deer,4,deer,1,0.9683436155319214
11,7,horse,7,horse,1,0.9999998807907104
12,2,bird,2,bird,1,0.9936456680297852
13,3,cat,3,cat,1,0.9999850988388062
14,5,dog,5,dog,1,0.9999990463256836
15,8,ship,8,ship,1,0.9999401569366455
16,1,automobile,1,automobile,1,0.999332845211029
17,2,bird,2,bird,1,0.9523335099220276
18,3,cat,3,cat,1,0.9998040795326233
19,7,horse,7,horse,1,0.999984622001648
20,2,bird,2,bird,1,0.9999996423721313
21,5,dog,5,dog,1,0.9999935626983643
22,9,truck,9,truck,1,0.9999921321868896
23,1,automobile,1,automobile,1,0.9999849796295166
24,4,deer,4,deer,1,0.999715268611908
25,1,automobile,1,automobile,1,0.9999401569366455
26,5,dog,5,dog,1,0.999984860420227
27,4,deer,4,deer,1,0.9550485610961914
28,8,ship,8,ship,1,0.9243988394737244
29,2,bird,2,bird,1,0.9989824891090393
30,6,frog,6,frog,1,0.9704663157463074
31,8,ship,8,ship,1,0.9999589920043945
32,8,ship,8,ship,1,0.999988317489624
33,2,bird,2,bird,1,0.9999830722808838
34,8,ship,8,ship,1,0.9999040365219116
35,4,deer,5,dog,0,0.9667037129402161
36,7,horse,7,horse,1,0.9999756813049316
37,3,cat,3,cat,1,0.9983426332473755
38,4,deer,6,frog,0,0.5136653780937195
39,6,frog,6,frog,1,0.9999933242797852
40,8,ship,8,ship,1,0.9999779462814331
41,3,cat,6,frog,0,0.823104739189148
42,7,horse,7,horse,1,0.9999997615814209
43,6,frog,6,frog,1,0.9995176792144775
44,9,truck,9,truck,1,0.9998892545700073
45,0,airplane,0,airplane,1,0.9906288981437683
46,7,horse,7,horse,1,0.9968915581703186
47,8,ship,8,ship,1,0.9956315755844116
48,2,bird,2,bird,1,0.991245448589325
49,7,horse,7,horse,1,0.999998927116394
50,2,bird,2,bird,1,0.9999982118606567
51,1,automobile,1,automobile,1,0.9999996423721313
52,8,ship,8,ship,1,0.9997863173484802
53,9,truck,9,truck,1,0.9999998807907104
54,0,airplane,0,airplane,1,0.9999902248382568
55,6,frog,6,frog,1,1.0
56,0,airplane,0,airplane,1,0.9999850988388062
57,3,cat,3,cat,1,0.9999997615814209
58,6,frog,6,frog,1,0.9961332082748413
59,3,cat,3,cat,1,0.9908922910690308
60,1,automobile,1,automobile,1,0.9999905824661255
61,1,automobile,1,automobile,1,0.9999963045120239
62,7,horse,7,horse,1,0.999974250793457
63,6,frog,3,cat,0,0.8868610262870789
64,6,frog,6,frog,1,0.8274816870689392
65,5,dog,5,dog,1,0.8236997127532959
66,5,dog,5,dog,1,0.9999997615814209
67,3,cat,3,cat,1,0.9997987151145935
68,5,dog,5,dog,1,0.9999997615814209
69,2,bird,2,bird,1,0.999937891960144
70,3,cat,3,cat,1,0.9997155070304871
71,3,cat,3,cat,1,0.7391366958618164
72,4,deer,4,deer,1,0.9999982118606567
73,0,airplane,0,airplane,1,0.9999997615814209
74,9,truck,1,automobile,0,0.9817513823509216
75,7,horse,7,horse,1,0.9938595294952393
76,0,airplane,0,airplane,1,0.9831889271736145
77,3,cat,3,cat,1,0.9999991655349731
78,2,bird,2,bird,1,0.9895338416099548
79,8,ship,8,ship,1,0.999998927116394
80,0,airplane,0,airplane,1,0.9999934434890747
81,7,horse,7,horse,1,1.0
82,1,automobile,1,automobile,1,0.9915269017219543
83,1,automobile,1,automobile,1,0.9999597072601318
84,8,ship,8,ship,1,0.9999992847442627
85,7,horse,7,horse,1,1.0
86,2,bird,4,deer,0,0.750903308391571
87,3,cat,3,cat,1,0.9998241066932678
88,0,airplane,0,airplane,1,0.8921183943748474
89,0,airplane,0,airplane,1,0.9963310360908508
90,7,horse,5,dog,0,0.999580442905426
91,2,bird,2,bird,1,0.9999998807907104
92,8,ship,8,ship,1,0.9999667406082153
93,8,ship,8,ship,1,0.9997546076774597
94,0,airplane,0,airplane,1,0.9999971389770508
95,5,dog,5,dog,1,0.9997561573982239
96,8,ship,8,ship,1,0.9999991655349731
97,0,airplane,0,airplane,1,0.999972939491272
98,3,cat,3,cat,1,0.9997727274894714
99,5,dog,5,dog,1,0.9998950958251953
