image_id,label_idx,label,pred_idx,pred,correct,confidence
35,4,deer,5,dog,0,0.966704249382019
38,4,deer,6,frog,0,0.5136708617210388
41,3,cat,6,frog,0,0.8231059908866882
63,6,frog,3,cat,0,0.8868612051010132
74,9,truck,1,automobile,0,0.9817515015602112
86,2,bird,4,deer,0,0.7509060502052307
90,7,horse,5,dog,0,0.9995803236961365
100,4,deer,2,bird,0,0.6808047294616699
103,9,truck,8,ship,0,0.5035673975944519
130,4,deer,5,dog,0,0.965962290763855
131,2,bird,3,cat,0,0.6351333856582642
150,9,truck,1,automobile,0,0.5508363246917725
160,8,ship,9,truck,0,0.9869490265846252
165,6,frog,2,bird,0,0.9911549091339111
177,2,bird,4,deer,0,0.9596885442733765
